date,regiao,mental_health_visits,total_atd,periodo,Pandemia_Step,Pandemia_Trend,PosPandemia_Step,PosPandemia_Trend,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_2,quarter_3,quarter_4,IR,offset,sin1_12,cos1_12
2016-01-01,Brasil,111066.0,8232396.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.491333507280263,9.015832381313148,0.0,1.0
2016-02-01,Brasil,122505.0,10104083.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.124306579825205,9.220694878565075,0.49999999999999994,0.8660254037844387
2016-03-01,Brasil,149843.0,13130885.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.411492827787312,9.482722367919504,0.8660254037844386,0.5000000000000001
2016-04-01,Brasil,129201.0,11242471.0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,11.492224440694576,9.327453939144092,1.0,6.123233995736766e-17
2016-05-01,Brasil,137556.0,11755506.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,11.701410385907677,9.372077005560286,0.8660254037844387,-0.4999999999999998
2016-06-01,Brasil,154399.0,12604666.0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12.249352739691794,9.4418223418493,0.49999999999999994,-0.8660254037844387
2016-07-01,Brasil,144407.0,11493594.0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,12.56412920101406,9.349545115666722,1.2246467991473532e-16,-1.0
2016-08-01,Brasil,173906.0,14043781.0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12.383132434206999,9.549934943318831,-0.4999999999999997,-0.8660254037844388
2016-09-01,Brasil,157427.0,12191362.0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12.91299528305369,9.408482947160872,-0.8660254037844385,-0.5000000000000004
2016-10-01,Brasil,140392.0,10472556.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13.405705350250694,9.25651340014516,-1.0,-1.8369701987210297e-16
2016-11-01,Brasil,132194.0,9646057.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13.704459760086426,9.174304509796613,-0.8660254037844386,0.5000000000000001
2016-12-01,Brasil,109733.0,7205093.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15.229921390327647,8.882543416053302,-0.5000000000000004,0.8660254037844384
2017-01-01,Brasil,150276.0,10643717.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.118751936001305,9.272725043995154,-2.4492935982947064e-16,1.0
2017-02-01,Brasil,145222.0,10625801.0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.66692261599855,9.271040379186362,0.5,0.8660254037844386
2017-03-01,Brasil,189678.0,13951230.0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13.595790478688976,9.543322955405596,0.8660254037844384,0.5000000000000004
2017-04-01,Brasil,182008.0,12918940.0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14.088462366107436,9.4664497306272,1.0,1.1943401194869635e-15
2017-05-01,Brasil,212886.0,15701307.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,13.558489111766301,9.661499236279086,0.8660254037844392,-0.4999999999999992
2017-06-01,Brasil,207287.0,14296146.0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,14.499502173522849,9.56774526943401,0.4999999999999998,-0.8660254037844388
2017-07-01,Brasil,202358.0,14128559.0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,14.322621294924698,9.555953488878663,3.6739403974420594e-16,-1.0
2017-08-01,Brasil,258148.0,17348265.0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14.880335295777416,9.761247780374672,-0.49999999999999917,-0.8660254037844392
2017-09-01,Brasil,268276.0,16872893.0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,15.899822277068907,9.733463648685905,-0.8660254037844387,-0.49999999999999983
2017-10-01,Brasil,300298.0,17842497.0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,16.830491830823902,9.789338362707335,-1.0,-4.286263797015736e-16
2017-11-01,Brasil,297615.0,17686999.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,16.826766372294138,9.78058512889609,-0.8660254037844392,0.4999999999999991
2017-12-01,Brasil,234863.0,13329497.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,17.619794655417227,9.497734678027184,-0.5000000000000014,0.8660254037844378
2018-01-01,Brasil,280906.0,16650688.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.87053411847006,9.720206815876208,-4.898587196589413e-16,1.0
2018-02-01,Brasil,268180.0,15280725.0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.55021440409405,9.634347509238887,0.5000000000000006,0.8660254037844383
2018-03-01,Brasil,315705.0,18712756.0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.87111187683952,9.836960709329027,0.8660254037844387,0.49999999999999994
2018-04-01,Brasil,321409.0,18818333.0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17.079568099894924,9.84258683323329,1.0,5.51091059616309e-16
2018-05-01,Brasil,325042.0,19291195.0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,16.849241324863495,9.867404053177477,0.8660254037844393,-0.499999999999999
2018-06-01,Brasil,318899.0,17535895.0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,18.185498943737976,9.772005202047334,0.5,-0.8660254037844386
2018-07-01,Brasil,334235.0,18796956.0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,17.781336510017898,9.841450220814792,2.388680238973927e-15,-1.0
2018-08-01,Brasil,387238.0,21295471.0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,18.184054252662456,9.96624969998076,-0.49999999999999895,-0.8660254037844393
2018-09-01,Brasil,371794.0,20066133.0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,18.528432957162202,9.906788747590772,-0.8660254037844377,-0.5000000000000016
2018-10-01,Brasil,454198.0,24146684.0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18.809953366681736,10.091902341164433,-1.0,1.1028010998692062e-15
2018-11-01,Brasil,349077.0,18438761.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,18.931695030918835,9.822210303963805,-0.8660254037844384,0.5000000000000004
2018-12-01,Brasil,263849.0,14059001.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18.767265184773798,9.55101811020872,-0.5000000000000001,0.8660254037844386
2019-01-01,Brasil,340011.0,19409656.0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5176211263095,9.873525953182718,-7.347880794884119e-16,1.0
2019-02-01,Brasil,369303.0,20389977.0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.111987080711273,9.92279873556394,0.49999999999999883,0.8660254037844393
2019-03-01,Brasil,307380.0,16078634.0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.117295660812978,9.685246588875724,0.8660254037844377,0.5000000000000017
2019-04-01,Brasil,374843.0,20405616.0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18.36959981997113,9.923565436063482,1.0,2.57237725884603e-15
2019-05-01,Brasil,413615.0,22296661.0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18.55053543667368,10.012192215295709,0.8660254037844385,-0.5000000000000003
2019-06-01,Brasil,348253.0,18062631.0,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,19.280303074341717,9.801600497423644,0.5000000000000033,-0.8660254037844367
2019-07-01,Brasil,425664.0,21322286.0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,19.963337889755348,9.967508095796317,8.572527594031472e-16,-1.0
2019-08-01,Brasil,462004.0,21611519.0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,21.377673637841006,9.980981738562296,-0.4999999999999987,-0.8660254037844394
2019-09-01,Brasil,419925.0,19647635.0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,21.372801357517076,9.885712253819918,-0.8660254037844376,-0.5000000000000018
2019-10-01,Brasil,458452.0,21420993.0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21.401995696464677,9.972126701470634,-1.0,8.578717400397356e-16
2019-11-01,Brasil,403616.0,18520682.0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21.792718000341456,9.82664333257614,-0.8660254037844403,0.4999999999999971
2019-12-01,Brasil,321458.0,14159780.0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,22.702188875815867,9.558160830403851,-0.5000000000000003,0.8660254037844385
2020-01-01,Brasil,390948.0,17426499.0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.434110259324033,9.765747257753679,-9.797174393178826e-16,1.0
2020-02-01,Brasil,376572.0,16520344.0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.794440600026245,9.71234787010272,0.4999999999999986,0.8660254037844395
