date,regiao,mental_health_visits,total_atd,periodo,Pandemia_Step,Pandemia_Trend,PosPandemia_Step,PosPandemia_Trend,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_2,quarter_3,quarter_4,IR,offset,sin1_12,cos1_12
2016-01-01,sul,38152.0,1491781.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.574799518159836,7.307725987148228,0.0,1.0
2016-02-01,sul,51908.0,2019943.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.69775483763651,7.610824572175338,0.49999999999999994,0.8660254037844387
2016-03-01,sul,62072.0,2652117.0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23.40469896313021,7.8831134679796575,0.8660254037844386,0.5000000000000001
2016-04-01,sul,52677.0,2126983.0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24.766065361124184,7.6624598226906295,1.0,6.123233995736766e-17
2016-05-01,sul,55141.0,2382835.0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23.140922472600913,7.776046234248301,0.8660254037844387,-0.4999999999999998
2016-06-01,sul,63802.0,2681087.0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,23.79706439962597,7.893977588287593,0.49999999999999994,-0.8660254037844387
2016-07-01,sul,62187.0,2506770.0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,24.807620962433727,7.82675035083037,1.2246467991473532e-16,-1.0
2016-08-01,sul,72404.0,2991575.0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24.202635735356793,8.003555283550412,-0.4999999999999997,-0.8660254037844388
2016-09-01,sul,64658.0,2694636.0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,23.995077628295622,7.899018409285943,-0.8660254037844385,-0.5000000000000004
2016-10-01,sul,56849.0,2345810.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,24.23427302296435,7.760386037016335,-1.0,-1.8369701987210297e-16
2016-11-01,sul,55079.0,2157356.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25.53078861346945,7.676638676813539,-0.8660254037844386,0.5000000000000001
2016-12-01,sul,44722.0,1701881.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.27798300821268,7.4394893889451295,-0.5000000000000004,0.8660254037844384
2017-01-01,sul,52788.0,2078724.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.394424656664377,7.639509522912381,-2.4492935982947064e-16,1.0
2017-02-01,sul,51054.0,2029607.0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25.154623530565278,7.615597457234584,0.5,0.8660254037844386
2017-03-01,sul,67908.0,2784724.0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.385899643914442,7.931904045116492,0.8660254037844384,0.5000000000000004
2017-04-01,sul,64472.0,2605755.0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24.74215726344188,7.86547773945094,1.0,1.1943401194869635e-15
2017-05-01,sul,69442.0,2883945.0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,24.07882258503543,7.966914427487901,0.8660254037844392,-0.4999999999999992
2017-06-01,sul,64161.0,2617493.0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.512386470565538,7.86997226843357,0.4999999999999998,-0.8660254037844388
2017-07-01,sul,66071.0,2747312.0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,24.04932530415184,7.918378258094948,3.6739403974420594e-16,-1.0
2017-08-01,sul,78334.0,3130846.0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,25.02007444633176,8.049058534553039,-0.49999999999999917,-0.8660254037844392
2017-09-01,sul,85556.0,3499119.0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,24.450726025608162,8.160266501506433,-0.8660254037844387,-0.49999999999999983
2017-10-01,sul,96570.0,3766109.0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25.641849452578242,8.233797651974035,-1.0,-4.286263797015736e-16
2017-11-01,sul,93940.0,3728902.0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25.192402482017496,8.223869099329326,-0.8660254037844392,0.4999999999999991
2017-12-01,sul,75661.0,2883017.0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.243688469405487,7.966592594256467,-0.5000000000000014,0.8660254037844378
2018-01-01,sul,84754.0,3323595.0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.500700295914513,8.108802307396868,-4.898587196589413e-16,1.0
2018-02-01,sul,82272.0,3127761.0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.303800066565188,8.048072692096449,0.5000000000000006,0.8660254037844383
2018-03-01,sul,93063.0,3799601.0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24.49283490555982,8.242651340201592,0.8660254037844387,0.49999999999999994
2018-04-01,sul,97726.0,3954977.0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,24.70962536571009,8.28273006476133,1.0,5.51091059616309e-16
2018-05-01,sul,94476.0,3950949.0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,23.91222969468854,8.281711082203556,0.8660254037844393,-0.499999999999999
2018-06-01,sul,88737.0,3629643.0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,24.447858921662544,8.196889575315065,0.5,-0.8660254037844386
2018-07-01,sul,94076.0,3895748.0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,24.14837920727932,8.267640980945627,2.388680238973927e-15,-1.0
2018-08-01,sul,102565.0,4238054.0,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24.200965820633716,8.351859480606436,-0.49999999999999895,-0.8660254037844393
2018-09-01,sul,91000.0,3627309.0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,25.08746842356138,8.196246330029584,-0.8660254037844377,-0.5000000000000016
2018-10-01,sul,109284.0,4475717.0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,24.41709339531521,8.406421841338235,-1.0,1.1028010998692062e-15
2018-11-01,sul,92193.0,3724671.0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,24.751984806174825,8.222733804765378,-0.8660254037844384,0.5000000000000004
2018-12-01,sul,69332.0,2857177.0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,24.26591002237523,7.957589353409414,-0.5000000000000001,0.8660254037844386
2019-01-01,sul,82802.0,3499191.0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.663183861641162,8.160287077902735,-7.347880794884119e-16,1.0
2019-02-01,sul,90060.0,3707117.0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24.293811066659075,8.218009764562566,0.49999999999999883,0.8660254037844393
2019-03-01,sul,88891.0,3492664.0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.450773392459165,8.158420047795278,0.8660254037844377,0.5000000000000017
2019-04-01,sul,113437.0,4279121.0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,26.509416303021112,8.361502893651974,1.0,2.57237725884603e-15
2019-05-01,sul,117319.0,4497117.0,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,26.08760234612531,8.41119180377716,0.8660254037844385,-0.5000000000000003
2019-06-01,sul,98788.0,3818142.0,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,25.873317440786643,8.247519195841328,0.5000000000000033,-0.8660254037844367
2019-07-01,sul,117542.0,4505515.0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,26.08847157317199,8.413057480933782,8.572527594031472e-16,-1.0
2019-08-01,sul,123262.0,4524409.0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,27.24377924276961,8.417242239869287,-0.4999999999999987,-0.8660254037844394
2019-09-01,sul,106871.0,3968920.0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,26.92697257692269,8.286249296369293,-0.8660254037844376,-0.5000000000000018
2019-10-01,sul,116202.0,4470203.0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,25.994792630222836,8.405189100446682,-1.0,8.578717400397356e-16
2019-11-01,sul,103886.0,3826879.0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,27.146403113346413,8.249804867470935,-0.8660254037844403,0.4999999999999971
2019-12-01,sul,82891.0,2987363.0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,27.74721384712872,8.002146337447682,-0.5000000000000003,0.8660254037844385
2020-01-01,sul,97985.0,3417744.0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.669496603607524,8.136735963269635,-9.797174393178826e-16,1.0
2020-02-01,sul,92376.0,3255998.0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.37102479792678,8.088254112871628,0.4999999999999986,0.8660254037844395
2020-03-01,sul,92406.0,3382876.0,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27.315810570650537,8.126481514251417,0.8660254037844393,0.49999999999999883
2020-04-01,sul,72396.0,2166610.0,52,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,33.41441237693909,7.680919013027447,1.0,2.8173066186755008e-15
2020-05-01,sul,85126.0,2587058.0,53,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,32.904557995993905,7.858276601725973,0.8660254037844386,-0.5000000000000001
2020-06-01,sul,96680.0,3008025.0,54,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,32.14069032006051,8.009038996205406,0.5000000000000004,-0.8660254037844384
2020-07-01,sul,102491.0,3486533.0,55,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,29.396251232958356,8.156663111695865,1.102182119232618e-15,-1.0
2020-08-01,sul,101316.0,3500718.0,56,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,28.941491431186403,8.160723369295729,-0.5000000000000016,-0.8660254037844377
2020-09-01,sul,122713.0,3950652.0,57,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,31.061455172462672,8.28163590756486,-0.8660254037844375,-0.500000000000002
2020-10-01,sul,115885.0,4036029.0,58,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,28.712628179827252,8.303016566779696,-1.0,-2.939771298590236e-15
2020-11-01,sul,113099.0,4298672.0,59,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,26.310218597743674,8.36606141677232,-0.8660254037844386,0.5
2020-12-01,sul,95030.0,3561154.0,60,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,26.685170031961547,8.17783992862182,-0.5000000000000006,0.8660254037844384
2021-01-01,sul,99299.0,3712563.0,61,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.746751502937457,8.219477752663941,-4.777360477947854e-15,1.0
