date,regiao,mental_health_visits,total_atd,periodo,PrePandemia_Step,PrePandemia_Trend,Pandemia_Step,Pandemia_Trend,PosPandemia_Step,PosPandemia_Trend,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_2,quarter_3,quarter_4,cos1,sin1,IR,offset,ma_12_mental_health_visits
2016-01-01,Brasil,111066.0,8232396.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,13.491333507280263,9.015832381313148,134095.0
2016-02-01,Brasil,122505.0,10104083.0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,12.124306579825205,9.220694878565075,135568.14285714287
2016-03-01,Brasil,149843.0,13130885.0,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.4492935982947064e-16,1.0,11.411492827787312,9.482722367919504,140360.375
2016-04-01,Brasil,129201.0,11242471.0,4,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1.0,-4.286263797015736e-16,11.492224440694576,9.327453939144092,142256.66666666666
2016-05-01,Brasil,137556.0,11755506.0,5,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.8660254037844378,0.5000000000000014,11.701410385907677,9.372077005560286,142070.2
2016-06-01,Brasil,154399.0,12604666.0,6,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.8660254037844384,0.5000000000000004,12.249352739691794,9.4418223418493,141172.36363636365
2016-07-01,Brasil,144407.0,11493594.0,7,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.5000000000000002,-0.8660254037844385,12.56412920101406,9.349545115666722,138552.41666666666
2016-08-01,Brasil,173906.0,14043781.0,8,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.5000000000000003,0.8660254037844385,12.383132434206999,9.549934943318831,141819.91666666666
2016-09-01,Brasil,157427.0,12191362.0,9,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-9.797174393178826e-16,1.0,12.91299528305369,9.408482947160872,143713.0
2016-10-01,Brasil,140392.0,10472556.0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.4999999999999985,-0.8660254037844395,13.405705350250694,9.25651340014516,147032.58333333334
2016-11-01,Brasil,132194.0,9646057.0,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.4999999999999984,0.8660254037844396,13.704459760086426,9.174304509796613,151433.16666666666
2016-12-01,Brasil,109733.0,7205093.0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.4999999999999983,-0.8660254037844396,15.229921390327647,8.882543416053302,157710.66666666666
2017-01-01,Brasil,150276.0,10643717.0,13,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999999999999951,0.8660254037844415,14.118751936001305,9.272725043995154,162118.0
2017-02-01,Brasil,145222.0,10625801.0,14,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,-3.4296300182491773e-15,13.66692261599855,9.271040379186362,166947.25
2017-03-01,Brasil,189678.0,13951230.0,15,1,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8660254037844372,0.5000000000000026,13.595790478688976,9.543322955405596,173967.41666666666
2017-04-01,Brasil,182008.0,12918940.0,16,1,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.866025403784439,0.49999999999999933,14.088462366107436,9.4664497306272,183204.83333333334
2017-05-01,Brasil,212886.0,15701307.0,17,1,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1.959434878635765e-15,1.0,13.558489111766301,9.661499236279086,196530.33333333334
2017-06-01,Brasil,207287.0,14296146.0,18,1,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.0,-3.919488737908119e-15,14.499502173522849,9.56774526943401,210315.41666666666
2017-07-01,Brasil,202358.0,14128559.0,19,1,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.8660254037844374,-0.5000000000000021,14.322621294924698,9.555953488878663,220742.91666666666
2017-08-01,Brasil,258148.0,17348265.0,20,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.5000000000000047,0.8660254037844359,14.880335295777416,9.761247780374672,231628.75
2017-09-01,Brasil,268276.0,16872893.0,21,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.866025403784441,-0.4999999999999957,15.899822277068907,9.733463648685905,241875.25
2017-10-01,Brasil,300298.0,17842497.0,22,1,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.8660254037844394,0.4999999999999987,16.830491830823902,9.789338362707335,252377.5
2017-11-01,Brasil,297615.0,17686999.0,23,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.5000000000000081,-0.8660254037844339,16.826766372294138,9.78058512889609,263994.25
2017-12-01,Brasil,234863.0,13329497.0,24,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.369401316839413e-15,-1.0,17.619794655417227,9.497734678027184,273340.5833333333
2018-01-01,Brasil,280906.0,16650688.0,25,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9391523179536475e-15,1.0,16.87053411847006,9.720206815876208,282641.5833333333
2018-02-01,Brasil,268180.0,15280725.0,26,1,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8660254037844347,-0.5000000000000068,17.55021440409405,9.634347509238887,293631.3333333333
2018-03-01,Brasil,315705.0,18712756.0,27,1,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5000000000000084,-0.8660254037844337,16.87111187683952,9.836960709329027,304388.8333333333
2018-04-01,Brasil,321409.0,18818333.0,28,1,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-0.5000000000000056,0.8660254037844355,17.079568099894924,9.84258683323329,313015.3333333333
2018-05-01,Brasil,325042.0,19291195.0,29,1,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.49999999999999956,0.8660254037844389,16.849241324863495,9.867404053177477,325840.3333333333
