"periodo","mental_health_visits","total_atd","region"
1,111066,8232396,"Brasil"
2,122505,10104083,"Brasil"
3,149843,13130885,"Brasil"
4,129201,11242471,"Brasil"
5,137556,11755506,"Brasil"
6,154399,12604666,"Brasil"
7,144407,11493594,"Brasil"
8,173906,14043781,"Brasil"
9,157427,12191362,"Brasil"
10,140392,10472556,"Brasil"
11,132194,9646057,"Brasil"
12,109733,7205093,"Brasil"
13,150276,10643717,"Brasil"
14,145222,10625801,"Brasil"
15,189678,13951230,"Brasil"
16,182008,12918940,"Brasil"
17,212886,15701307,"Brasil"
18,207287,14296146,"Brasil"
19,202358,14128559,"Brasil"
20,258148,17348265,"Brasil"
21,268276,16872893,"Brasil"
22,300298,17842497,"Brasil"
23,297615,17686999,"Brasil"
24,234863,13329497,"Brasil"
25,280906,16650688,"Brasil"
26,268180,15280725,"Brasil"
27,315705,18712756,"Brasil"
28,321409,18818333,"Brasil"
29,325042,19291195,"Brasil"
30,318899,17535895,"Brasil"
31,334235,18796956,"Brasil"
32,387238,21295471,"Brasil"
33,371794,20066133,"Brasil"
34,454198,24146684,"Brasil"
35,349077,18438761,"Brasil"
36,263849,14059001,"Brasil"
37,340011,19409656,"Brasil"
38,369303,20389977,"Brasil"
39,307380,16078634,"Brasil"
40,374843,20405616,"Brasil"
41,413615,22296661,"Brasil"
42,348253,18062631,"Brasil"
43,425664,21322286,"Brasil"
44,462004,21611519,"Brasil"
45,419925,19647635,"Brasil"
46,458452,21420993,"Brasil"
47,403616,18520682,"Brasil"
48,321458,14159780,"Brasil"
49,390948,17426499,"Brasil"
50,376572,16520344,"Brasil"
51,394079,17037445,"Brasil"
52,310316,10478899,"Brasil"
53,347363,12412552,"Brasil"
54,407120,15197165,"Brasil"
55,449459,18172799,"Brasil"
56,449086,18055161,"Brasil"
57,506758,19528646,"Brasil"
58,484962,19095554,"Brasil"
59,484277,19270233,"Brasil"
60,412074,16228765,"Brasil"
61,425481,17413861,"Brasil"
62,451981,18225154,"Brasil"
63,512174,21625066,"Brasil"
64,477296,19054945,"Brasil"
65,510930,22063295,"Brasil"
66,517351,21549941,"Brasil"
67,553220,21779971,"Brasil"
68,634236,23892737,"Brasil"
69,609764,22122731,"Brasil"
70,573349,21439554,"Brasil"
71,593931,22606956,"Brasil"
72,529192,20870224,"Brasil"
73,460830,23911709,"Brasil"
74,553196,22240304,"Brasil"
75,690295,26096335,"Brasil"
76,591594,23016715,"Brasil"
77,699867,28270162,"Brasil"
78,634538,26505361,"Brasil"
79,659304,26865950,"Brasil"
80,824211,31572161,"Brasil"
81,773005,26884283,"Brasil"
82,742444,26677221,"Brasil"
83,721217,26927362,"Brasil"
84,640016,23928217,"Brasil"
85,785773,26879021,"Brasil"
86,735012,24541421,"Brasil"
87,959373,33952484,"Brasil"
88,782448,28705419,"Brasil"
89,977161,34034554,"Brasil"
90,844447,28747946,"Brasil"
91,897392,29726466,"Brasil"
92,1077663,34826560,"Brasil"
93,923633,28574833,"Brasil"
94,996308,31539972,"Brasil"
95,936466,29912945,"Brasil"
96,796610,25454786,"Brasil"
97,960484,29797837,"Brasil"
98,898076,29122607,"Brasil"
99,928336,32803507,"Brasil"
100,1090827,38382081,"Brasil"
101,986689,32572819,"Brasil"
102,996029,31531084,"Brasil"
103,1067512,33044607,"Brasil"
104,1111217,34104504,"Brasil"
105,1100021,33724120,"Brasil"
106,1143762,35109997,"Brasil"
107,985681,30378153,"Brasil"
108,810505,25275132,"Brasil"
