"periodo","mental_health_visits","total_atd","region"
1,5311,485404,"centro_oeste"
2,6743,604575,"centro_oeste"
3,7537,742738,"centro_oeste"
4,7077,677673,"centro_oeste"
5,8278,716658,"centro_oeste"
6,10045,840104,"centro_oeste"
7,8973,734118,"centro_oeste"
8,11077,918959,"centro_oeste"
9,9979,913647,"centro_oeste"
10,8601,710330,"centro_oeste"
11,7778,691712,"centro_oeste"
12,6365,554631,"centro_oeste"
13,9493,736849,"centro_oeste"
14,9058,691277,"centro_oeste"
15,11088,897569,"centro_oeste"
16,10283,798357,"centro_oeste"
17,13683,975530,"centro_oeste"
18,12389,841414,"centro_oeste"
19,12488,823041,"centro_oeste"
20,16903,1009525,"centro_oeste"
21,16539,945042,"centro_oeste"
22,18188,980394,"centro_oeste"
23,18415,956638,"centro_oeste"
24,14446,759596,"centro_oeste"
25,20616,1059080,"centro_oeste"
26,20384,1011123,"centro_oeste"
27,23709,1211151,"centro_oeste"
28,24507,1293344,"centro_oeste"
29,25896,1284953,"centro_oeste"
30,26381,1175692,"centro_oeste"
31,27010,1230617,"centro_oeste"
32,31978,1440263,"centro_oeste"
33,28293,1267034,"centro_oeste"
34,31895,1443295,"centro_oeste"
35,25868,1188338,"centro_oeste"
36,19808,915454,"centro_oeste"
37,26873,1275159,"centro_oeste"
38,31627,1459111,"centro_oeste"
39,25015,1177864,"centro_oeste"
40,29342,1472130,"centro_oeste"
41,32134,1585343,"centro_oeste"
42,27286,1284892,"centro_oeste"
43,33764,1511312,"centro_oeste"
44,37002,1522138,"centro_oeste"
45,35782,1406952,"centro_oeste"
46,37376,1488005,"centro_oeste"
47,31414,1292890,"centro_oeste"
48,24284,972469,"centro_oeste"
49,31942,1286079,"centro_oeste"
50,30238,1252723,"centro_oeste"
51,32441,1310349,"centro_oeste"
52,26767,873237,"centro_oeste"
53,30537,1042159,"centro_oeste"
54,34160,1256183,"centro_oeste"
55,34917,1449457,"centro_oeste"
56,33182,1397664,"centro_oeste"
57,36187,1402378,"centro_oeste"
58,35990,1343929,"centro_oeste"
59,34667,1339597,"centro_oeste"
60,25809,1070581,"centro_oeste"
61,30780,1247466,"centro_oeste"
62,33342,1315575,"centro_oeste"
63,37439,1602916,"centro_oeste"
64,35166,1406009,"centro_oeste"
65,40167,1726725,"centro_oeste"
66,40997,1620626,"centro_oeste"
67,41838,1631010,"centro_oeste"
68,48398,1755433,"centro_oeste"
69,47793,1638926,"centro_oeste"
70,44161,1577021,"centro_oeste"
71,45613,1641417,"centro_oeste"
72,39117,1540038,"centro_oeste"
73,35414,2010087,"centro_oeste"
74,42363,1776365,"centro_oeste"
75,55660,2020610,"centro_oeste"
76,48584,1779598,"centro_oeste"
77,58554,2197944,"centro_oeste"
78,51096,2231259,"centro_oeste"
79,50943,2022811,"centro_oeste"
80,65627,2254833,"centro_oeste"
81,62514,2041206,"centro_oeste"
82,55909,1951544,"centro_oeste"
83,54680,2006280,"centro_oeste"
84,44890,1820501,"centro_oeste"
85,60877,2072288,"centro_oeste"
86,55426,1888234,"centro_oeste"
87,71127,2588768,"centro_oeste"
88,56631,2186160,"centro_oeste"
89,70278,2555820,"centro_oeste"
90,64121,2191454,"centro_oeste"
91,65863,2198877,"centro_oeste"
92,82831,2651461,"centro_oeste"
93,69830,2173642,"centro_oeste"
94,73197,2387652,"centro_oeste"
95,68916,2274298,"centro_oeste"
96,57797,1964318,"centro_oeste"
97,71629,2387965,"centro_oeste"
98,64646,2422108,"centro_oeste"
99,66478,2581099,"centro_oeste"
100,79812,3128897,"centro_oeste"
101,71550,2655346,"centro_oeste"
102,75717,2549881,"centro_oeste"
103,78878,2571424,"centro_oeste"
104,82167,2650667,"centro_oeste"
105,79451,2577523,"centro_oeste"
106,85273,2707153,"centro_oeste"
107,71481,2383814,"centro_oeste"
108,55792,1885927,"centro_oeste"
