"periodo","mental_health_visits","total_atd","region"
1,15644,2712931,"nordeste"
2,17905,3245839,"nordeste"
3,20724,3917310,"nordeste"
4,20243,3612813,"nordeste"
5,22084,3734558,"nordeste"
6,22965,3722032,"nordeste"
7,22132,3467744,"nordeste"
8,26138,4032817,"nordeste"
9,23095,3385429,"nordeste"
10,19908,2771680,"nordeste"
11,17271,2533166,"nordeste"
12,13359,1635228,"nordeste"
13,24618,3067828,"nordeste"
14,23285,3359600,"nordeste"
15,29946,4368006,"nordeste"
16,26570,3842191,"nordeste"
17,35107,4923592,"nordeste"
18,32690,4191170,"nordeste"
19,31920,4286062,"nordeste"
20,39907,5043242,"nordeste"
21,39539,4745868,"nordeste"
22,43413,4951460,"nordeste"
23,45580,4876966,"nordeste"
24,34205,3336620,"nordeste"
25,45492,4578998,"nordeste"
26,42465,4097130,"nordeste"
27,48384,4950878,"nordeste"
28,52174,5326631,"nordeste"
29,54298,5382408,"nordeste"
30,50842,4644029,"nordeste"
31,56226,5147509,"nordeste"
32,64210,5794043,"nordeste"
33,56129,5028544,"nordeste"
34,62723,5591640,"nordeste"
35,53483,4671650,"nordeste"
36,45215,3694131,"nordeste"
37,63753,5728520,"nordeste"
38,65310,5834459,"nordeste"
39,42734,3777558,"nordeste"
40,54755,5322322,"nordeste"
41,61157,5762422,"nordeste"
42,50560,4433343,"nordeste"
43,67441,5668036,"nordeste"
44,70344,5602920,"nordeste"
45,68621,5409725,"nordeste"
46,75236,5756442,"nordeste"
47,67187,4916525,"nordeste"
48,53708,3532972,"nordeste"
49,73003,4741530,"nordeste"
50,66744,4327424,"nordeste"
51,71440,4324852,"nordeste"
52,61318,2685300,"nordeste"
53,64097,3118733,"nordeste"
54,71654,3687761,"nordeste"
55,86929,4589493,"nordeste"
56,87500,4598839,"nordeste"
57,98595,5069403,"nordeste"
58,87307,4685684,"nordeste"
59,91269,4511432,"nordeste"
60,78001,3545271,"nordeste"
61,83505,3912195,"nordeste"
62,84788,4272415,"nordeste"
63,96093,5132302,"nordeste"
64,90111,4760230,"nordeste"
65,97038,5572818,"nordeste"
66,99384,5217344,"nordeste"
67,113927,5592577,"nordeste"
68,126574,5989165,"nordeste"
69,122825,5471758,"nordeste"
70,113613,5267265,"nordeste"
71,117566,5556911,"nordeste"
72,104336,4809157,"nordeste"
73,99280,5460054,"nordeste"
74,123645,5533135,"nordeste"
75,142135,6338631,"nordeste"
76,118704,5602314,"nordeste"
77,144605,6681635,"nordeste"
78,126022,5774024,"nordeste"
79,137585,6258658,"nordeste"
80,184554,7967896,"nordeste"
81,173529,6571525,"nordeste"
82,164470,6408453,"nordeste"
83,160425,6543094,"nordeste"
84,146308,5774686,"nordeste"
85,172064,6056221,"nordeste"
86,166710,5830272,"nordeste"
87,200825,7791481,"nordeste"
88,174083,7058523,"nordeste"
89,237858,8297202,"nordeste"
90,170690,6078086,"nordeste"
91,205880,7206695,"nordeste"
92,233414,8272703,"nordeste"
93,202595,6526763,"nordeste"
94,219452,7170517,"nordeste"
95,214741,7075563,"nordeste"
96,171896,5663951,"nordeste"
97,226318,6596638,"nordeste"
98,202364,6195667,"nordeste"
99,201410,6849437,"nordeste"
100,252326,8736530,"nordeste"
101,234406,7198549,"nordeste"
102,217918,6478604,"nordeste"
103,258344,7581822,"nordeste"
104,256304,7784584,"nordeste"
105,261634,7814640,"nordeste"
106,265039,7887348,"nordeste"
107,227451,6796716,"nordeste"
108,181171,5461611,"nordeste"
