"periodo","mental_health_visits","total_atd","region"
1,4093,688276,"norte"
2,5144,818837,"norte"
3,5837,1015203,"norte"
4,4888,927385,"norte"
5,5524,956685,"norte"
6,5989,1023123,"norte"
7,4720,810932,"norte"
8,5841,969870,"norte"
9,5231,861146,"norte"
10,4770,759285,"norte"
11,3602,637659,"norte"
12,3096,455704,"norte"
13,4170,735777,"norte"
14,4171,755455,"norte"
15,5656,976967,"norte"
16,5646,888435,"norte"
17,7015,1068221,"norte"
18,6894,984891,"norte"
19,6778,920542,"norte"
20,8709,1081961,"norte"
21,8706,1034950,"norte"
22,9280,1088498,"norte"
23,9330,1080516,"norte"
24,7619,845246,"norte"
25,9693,1150248,"norte"
26,9299,1027506,"norte"
27,11122,1282624,"norte"
28,11960,1328363,"norte"
29,12189,1362369,"norte"
30,11609,1178144,"norte"
31,11755,1154150,"norte"
32,15184,1388006,"norte"
33,13550,1218094,"norte"
34,14418,1371236,"norte"
35,11439,1085473,"norte"
36,8493,840172,"norte"
37,13634,1456296,"norte"
38,15651,1528776,"norte"
39,10326,1033212,"norte"
40,13655,1382635,"norte"
41,15528,1478419,"norte"
42,13335,1238816,"norte"
43,15158,1358503,"norte"
44,15971,1367025,"norte"
45,14882,1285697,"norte"
46,15976,1397004,"norte"
47,13607,1201832,"norte"
48,10691,914188,"norte"
49,13785,1204616,"norte"
50,12919,1101599,"norte"
51,14214,1138840,"norte"
52,11245,685182,"norte"
53,12836,859343,"norte"
54,14368,1098306,"norte"
55,16751,1352499,"norte"
56,15289,1332747,"norte"
57,16447,1402621,"norte"
58,16054,1234488,"norte"
59,15488,1183965,"norte"
60,11940,1004414,"norte"
61,12462,1138470,"norte"
62,14178,1210156,"norte"
63,18996,1554978,"norte"
64,18398,1424867,"norte"
65,20351,1574816,"norte"
66,20553,1527610,"norte"
67,20886,1468927,"norte"
68,23806,1614303,"norte"
69,22560,1407123,"norte"
70,21325,1351771,"norte"
71,22262,1449905,"norte"
72,20162,1477637,"norte"
73,19190,1679679,"norte"
74,22527,1445120,"norte"
75,27756,1687696,"norte"
76,24607,1511128,"norte"
77,29768,1796713,"norte"
78,26465,1708178,"norte"
79,22885,1636109,"norte"
80,31252,1918678,"norte"
81,29449,1569245,"norte"
82,27322,1554405,"norte"
83,27519,1634686,"norte"
84,23383,1437691,"norte"
85,29414,1670850,"norte"
86,26546,1477581,"norte"
87,35114,2057619,"norte"
88,29783,1706925,"norte"
89,36554,1958329,"norte"
90,33138,1763434,"norte"
91,33664,1734718,"norte"
92,42013,2034596,"norte"
93,37261,1715103,"norte"
94,41485,1907955,"norte"
95,39855,1889197,"norte"
96,32927,1587093,"norte"
97,42153,1955253,"norte"
98,40965,1849472,"norte"
99,43479,2013789,"norte"
100,51421,2386166,"norte"
101,46849,2025140,"norte"
102,47380,2014634,"norte"
103,47346,1973268,"norte"
104,50242,2055451,"norte"
105,51520,2020556,"norte"
106,54620,2074344,"norte"
107,45954,1864789,"norte"
108,37521,1514302,"norte"
