"periodo","mental_health_visits","total_atd","region"
1,46277,2854004,"sudeste"
2,39274,3414889,"sudeste"
3,51627,4803517,"sudeste"
4,42746,3897617,"sudeste"
5,44806,3964770,"sudeste"
6,49920,4338320,"sudeste"
7,44672,3974030,"sudeste"
8,56411,5130560,"sudeste"
9,52674,4336504,"sudeste"
10,48959,3885451,"sudeste"
11,47142,3626164,"sudeste"
12,41049,2857649,"sudeste"
13,57294,4024539,"sudeste"
14,55944,3789862,"sudeste"
15,72687,4923964,"sudeste"
16,72450,4784202,"sudeste"
17,84300,5850019,"sudeste"
18,87471,5661178,"sudeste"
19,82208,5351602,"sudeste"
20,110406,7082691,"sudeste"
21,113447,6647914,"sudeste"
22,127443,7056036,"sudeste"
23,125678,7043977,"sudeste"
24,99392,5505018,"sudeste"
25,115539,6538767,"sudeste"
26,109424,6017205,"sudeste"
27,134063,7468502,"sudeste"
28,129512,6915018,"sudeste"
29,132184,7310516,"sudeste"
30,135147,6908387,"sudeste"
31,139167,7368932,"sudeste"
32,166957,8435105,"sudeste"
33,176360,8925152,"sudeste"
34,229094,11264796,"sudeste"
35,160280,7768629,"sudeste"
36,116297,5752067,"sudeste"
37,146331,7450490,"sudeste"
38,159371,7860514,"sudeste"
39,134746,6597336,"sudeste"
40,156062,7949408,"sudeste"
41,179234,8973360,"sudeste"
42,151419,7287438,"sudeste"
43,182821,8278920,"sudeste"
44,207119,8595027,"sudeste"
45,185687,7576341,"sudeste"
46,204505,8309339,"sudeste"
47,179051,7282556,"sudeste"
48,142776,5752788,"sudeste"
49,164574,6776530,"sudeste"
50,165644,6582600,"sudeste"
51,173145,6880528,"sudeste"
52,128513,4068570,"sudeste"
53,144387,4805259,"sudeste"
54,176464,6146890,"sudeste"
55,196182,7294817,"sudeste"
56,200443,7225193,"sudeste"
57,221800,7703592,"sudeste"
58,219119,7795424,"sudeste"
59,218555,7936567,"sudeste"
60,190935,7047345,"sudeste"
61,189930,7403167,"sudeste"
62,207043,7590565,"sudeste"
63,229917,8773414,"sudeste"
64,209132,7410168,"sudeste"
65,229650,8682316,"sudeste"
66,227827,8574074,"sudeste"
67,235453,8369728,"sudeste"
68,277393,9432523,"sudeste"
69,262347,8733903,"sudeste"
70,249162,8310689,"sudeste"
71,260726,8964902,"sudeste"
72,231699,8541684,"sudeste"
73,194974,9510501,"sudeste"
74,240257,8748954,"sudeste"
75,297886,10384141,"sudeste"
76,259369,9050905,"sudeste"
77,306286,11302096,"sudeste"
78,277618,10907016,"sudeste"
79,287448,11278206,"sudeste"
80,349923,12984573,"sudeste"
81,325021,10925828,"sudeste"
82,315765,10823973,"sudeste"
83,303992,10690108,"sudeste"
84,272890,9515813,"sudeste"
85,343086,11509756,"sudeste"
86,313212,10197682,"sudeste"
87,418730,14237576,"sudeste"
88,337786,11611814,"sudeste"
89,411534,13846474,"sudeste"
90,378144,12390358,"sudeste"
91,384353,12320884,"sudeste"
92,467307,14419268,"sudeste"
93,399062,12036727,"sudeste"
94,424789,13026851,"sudeste"
95,389947,12048175,"sudeste"
96,345378,10649172,"sudeste"
97,404097,12540305,"sudeste"
98,377219,12263491,"sudeste"
99,402343,14289189,"sudeste"
100,457755,15747195,"sudeste"
101,424004,13873381,"sudeste"
102,428870,13582436,"sudeste"
103,448126,13749894,"sudeste"
104,478175,14186361,"sudeste"
105,469809,14006479,"sudeste"
106,480965,14396130,"sudeste"
107,420789,12579215,"sudeste"
108,353492,10876110,"sudeste"
