"periodo","mental_health_visits","total_atd","region"
1,38152,1491781,"sul"
2,51908,2019943,"sul"
3,62072,2652117,"sul"
4,52677,2126983,"sul"
5,55141,2382835,"sul"
6,63802,2681087,"sul"
7,62187,2506770,"sul"
8,72404,2991575,"sul"
9,64658,2694636,"sul"
10,56849,2345810,"sul"
11,55079,2157356,"sul"
12,44722,1701881,"sul"
13,52788,2078724,"sul"
14,51054,2029607,"sul"
15,67908,2784724,"sul"
16,64472,2605755,"sul"
17,69442,2883945,"sul"
18,64161,2617493,"sul"
19,66071,2747312,"sul"
20,78334,3130846,"sul"
21,85556,3499119,"sul"
22,96570,3766109,"sul"
23,93940,3728902,"sul"
24,75661,2883017,"sul"
25,84754,3323595,"sul"
26,82272,3127761,"sul"
27,93063,3799601,"sul"
28,97726,3954977,"sul"
29,94476,3950949,"sul"
30,88737,3629643,"sul"
31,94076,3895748,"sul"
32,102565,4238054,"sul"
33,91000,3627309,"sul"
34,109284,4475717,"sul"
35,92193,3724671,"sul"
36,69332,2857177,"sul"
37,82802,3499191,"sul"
38,90060,3707117,"sul"
39,88891,3492664,"sul"
40,113437,4279121,"sul"
41,117319,4497117,"sul"
42,98788,3818142,"sul"
43,117542,4505515,"sul"
44,123262,4524409,"sul"
45,106871,3968920,"sul"
46,116202,4470203,"sul"
47,103886,3826879,"sul"
48,82891,2987363,"sul"
49,97985,3417744,"sul"
50,92376,3255998,"sul"
51,92406,3382876,"sul"
52,72396,2166610,"sul"
53,85126,2587058,"sul"
54,96680,3008025,"sul"
55,102491,3486533,"sul"
56,101316,3500718,"sul"
57,122713,3950652,"sul"
58,115885,4036029,"sul"
59,113099,4298672,"sul"
60,95030,3561154,"sul"
61,99299,3712563,"sul"
62,102694,3836443,"sul"
63,118299,4561456,"sul"
64,114182,4053671,"sul"
65,112154,4506620,"sul"
66,117473,4610287,"sul"
67,129029,4717729,"sul"
68,145500,5101313,"sul"
69,141300,4871021,"sul"
70,133144,4932808,"sul"
71,135703,4993821,"sul"
72,122497,4501708,"sul"
73,101061,5251388,"sul"
74,112740,4736730,"sul"
75,153126,5665257,"sul"
76,128826,5072770,"sul"
77,146829,6291774,"sul"
78,140293,5884884,"sul"
79,147159,5670166,"sul"
80,177835,6446181,"sul"
81,168925,5776479,"sul"
82,165405,5938846,"sul"
83,160759,6053194,"sul"
84,139769,5379526,"sul"
85,165088,5569906,"sul"
86,158309,5147652,"sul"
87,215241,7277040,"sul"
88,168862,6141997,"sul"
89,201638,7376729,"sul"
90,182741,6324614,"sul"
91,190714,6265292,"sul"
92,232746,7448532,"sul"
93,198259,6122598,"sul"
94,220146,7046997,"sul"
95,205598,6625712,"sul"
96,173491,5590252,"sul"
97,199341,6317676,"sul"
98,197308,6391869,"sul"
99,198905,7069993,"sul"
100,231893,8383293,"sul"
101,193280,6820403,"sul"
102,209897,6905529,"sul"
103,216748,7168199,"sul"
104,227340,7427441,"sul"
105,220966,7304922,"sul"
106,239779,8045022,"sul"
107,204838,6753619,"sul"
108,169359,5537357,"sul"
