Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Data Ultima Carga: 24/03/2025
"Competência: DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Indicador: Gestantes com o primeiro atendimento de pré-natal.
Nível: Municipio.


Competência;Uf;Ibge;Municipio;Total Gestantes;
202410;RS;431280;NOVA ARAÇÁ;4;
202410;RS;431410;PASSO FUNDO;176;
202410;RS;430510;CAXIAS DO SUL;421;
202410;RS;430010;AGUDO;9;
202410;RS;430597;COXILHA;3;
202407;RS;431120;JÚLIO DE CASTILHOS;8;
202410;RS;431800;SÃO BORJA;54;
202410;RS;431720;SANTA ROSA;136;
202410;RS;431560;RIO GRANDE;236;
202410;RS;430545;CIDREIRA;20;
202410;RS;430760;ESTÂNCIA VELHA;32;
202410;RS;430700;ERECHIM;125;
202410;RS;431740;SANTIAGO;32;
202410;RS;432120;TAQUARA;63;
202410;RS;431940;SÃO PEDRO DO SUL;29;
202410;RS;431030;ILÓPOLIS;1;
202408;RS;432300;VIAMÃO;129;
202408;RS;431225;MINAS DO LEÃO;2;
202408;RS;431115;JÓIA;8;
202408;RS;432310;VICENTE DUTRA;6;
202408;RS;431680;SANTA CRUZ DO SUL;63;
202407;RS;431490;PORTO ALEGRE;862;
202408;RS;432180;TRÊS DE MAIO;19;
202408;RS;430910;GRAMADO;42;
202408;RS;431550;RESTINGA SECA;10;
202404;RS;430470;CARAZINHO;58;
202408;RS;432120;TAQUARA;29;
202408;RS;431180;MARAU;28;
202408;RS;432147;TIRADENTES DO SUL;3;
202408;RS;431247;MORRO REUTER;5;
202404;RS;430105;ARROIO DO SAL;10;
202408;RS;431980;SÃO VICENTE DO SUL;5;
202408;RS;432143;TERRA DE AREIA;6;
202408;RS;431301;NOVA CANDELÁRIA;5;
202408;RS;431960;SÃO SEPÉ;12;
202408;RS;431270;NONOAI;11;
202401;RS;432160;TRAMANDAÍ;58;
202401;RS;431990;SAPIRANGA;89;
202401;RS;430910;GRAMADO;44;
202401;RS;431440;PELOTAS;169;
202401;RS;431600;ROLANTE;11;
202401;RS;430300;CACHOEIRA DO SUL;64;
202401;RS;430435;CANDIOTA;7;
202401;RS;430780;ESTRELA;28;
202401;RS;431337;NOVA SANTA RITA;28;
202401;RS;432145;TEUTÔNIA;31;
202401;RS;430235;BOM PRINCÍPIO;5;
202401;RS;432026;SEGREDO;4;
202409;RS;431570;RIO PARDO;16;
202402;RS;431910;SÃO MARTINHO;6;
202402;RS;430130;ARROIO GRANDE;21;
202402;RS;430600;CRISSIUMAL;5;
202402;RS;431640;ROSÁRIO DO SUL;21;
202402;RS;431339;NOVO CABRAIS;2;
202402;RS;430470;CARAZINHO;55;
