Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Data Ultima Carga: 24/03/2025
"Competência: DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Indicador: Gestante com o primeiro atendimento até a 12° semana de gestação.
Nível: Municipio.


Competência;Uf;Ibge;Municipio;Primeiro Atend até 12sem;
202404;RS;430580;CONSTANTINA;7;
202408;RS;431730;SANTA VITÓRIA DO PALMAR;12;
202406;RS;431730;SANTA VITÓRIA DO PALMAR;11;
202404;RS;431647;SALVADOR DAS MISSÕES;2;
202409;RS;431647;SALVADOR DAS MISSÕES;1;
202410;RS;431660;SANANDUVA;14;
202405;RS;430690;ENCRUZILHADA DO SUL;20;
202412;RS;430690;ENCRUZILHADA DO SUL;13;
202406;RS;430690;ENCRUZILHADA DO SUL;11;
202404;RS;430695;ENTRE RIOS DO SUL;2;
202405;RS;430695;ENTRE RIOS DO SUL;1;
202403;RS;430730;ERVAL SECO;7;
202410;RS;430730;ERVAL SECO;4;
202401;RS;430730;ERVAL SECO;2;
202407;RS;430755;ESTAÇÃO;1;
202403;RS;430783;EUGÊNIO DE CASTRO;3;
202405;RS;430635;DEZESSEIS DE NOVEMBRO;1;
202403;RS;430635;DEZESSEIS DE NOVEMBRO;0;
202410;RS;431560;RIO GRANDE;122;
202407;RS;431630;ROQUE GONZALES;2;
202404;RS;431630;ROQUE GONZALES;6;
202406;RS;431630;ROQUE GONZALES;6;
202411;RS;431630;ROQUE GONZALES;0;
202411;RS;430587;CORONEL BARROS;2;
202410;RS;430597;COXILHA;2;
202408;RS;430607;CRISTAL DO SUL;1;
202412;RS;430607;CRISTAL DO SUL;4;
202406;RS;430607;CRISTAL DO SUL;2;
202401;RS;430513;CERRO BRANCO;1;
202406;RS;430530;CHAPADA;3;
202404;RS;430550;CIRÍACO;1;
202408;RS;431575;RIOZINHO;2;
202407;RS;430660;DOM PEDRITO;18;
202406;RS;430660;DOM PEDRITO;15;
202412;RS;430570;CONDOR;4;
202409;RS;431643;SALDANHA MARINHO;1;
202412;RS;431535;QUINZE DE NOVEMBRO;2;
202406;RS;431535;QUINZE DE NOVEMBRO;2;
202403;RS;431490;PORTO ALEGRE;555;
202404;RS;431490;PORTO ALEGRE;586;
202407;RS;431490;PORTO ALEGRE;730;
202402;RS;430495;CASEIROS;2;
202405;RS;430510;CAXIAS DO SUL;83;
202412;RS;430510;CAXIAS DO SUL;160;
202410;RS;430510;CAXIAS DO SUL;238;
202411;RS;431645;SALTO DO JACUÍ;6;
202401;RS;431645;SALTO DO JACUÍ;6;
202403;RS;431532;QUEVEDOS;1;
202405;RS;431532;QUEVEDOS;2;
202408;RS;431540;REDENTORA;2;
202406;RS;431540;REDENTORA;7;
202411;RS;431540;REDENTORA;1;
202407;RS;430545;CIDREIRA;13;
202410;RS;430545;CIDREIRA;16;
202403;RS;430545;CIDREIRA;6;
202404;RS;430545;CIDREIRA;5;
202403;RS;431500;PORTO LUCENA;2;
202405;RS;431515;PROGRESSO;4;
202403;RS;430435;CANDIOTA;2;
202401;RS;430435;CANDIOTA;6;
202405;RS;430463;CAPÃO DA CANOA;61;
202412;RS;431470;PLANALTO;4;
202407;RS;431470;PLANALTO;12;
202410;RS;431470;PLANALTO;5;
202410;RS;431475;POÇO DAS ANTAS;1;
202407;RS;431477;PONTÃO;2;
202411;RS;431477;PONTÃO;2;
202412;RS;431480;PORTÃO;16;
202402;RS;431480;PORTÃO;16;
202403;RS;431415;PAVERAMA;4;
202411;RS;431420;PEDRO OSÓRIO;1;
202404;RS;431420;PEDRO OSÓRIO;0;
202401;RS;431430;PEJUÇARA;2;
202401;RS;431442;PICADA CAFÉ;6;
202405;RS;430350;CAMAQUÃ;31;
202411;RS;430350;CAMAQUÃ;34;
202412;RS;430367;CAMPESTRE DA SERRA;1;
202404;RS;430367;CAMPESTRE DA SERRA;3;
202405;RS;430367;CAMPESTRE DA SERRA;1;
202407;RS;430235;BOM PRINCÍPIO;5;
202401;RS;430235;BOM PRINCÍPIO;4;
202409;RS;430235;BOM PRINCÍPIO;5;
202401;RS;431517;PROTÁSIO ALVES;2;
202408;RS;431520;PUTINGA;2;
202401;RS;431520;PUTINGA;3;
202402;RS;431530;QUARAÍ;13;
202406;RS;431530;QUARAÍ;11;
202403;RS;431447;PINHAL GRANDE;0;
202408;RS;431447;PINHAL GRANDE;2;
202408;RS;430420;CANDELÁRIA;12;
202403;RS;430420;CANDELÁRIA;21;
202404;RS;430466;CAPÃO DO LEÃO;14;
202406;RS;430310;CACHOEIRINHA;64;
202412;RS;431406;PASSA SETE;4;
202411;RS;431380;PALMITINHO;2;
202405;RS;431380;PALMITINHO;1;
202401;RS;431400;PARAÍ;3;
202403;RS;431400;PARAÍ;5;
202409;RS;431349;NOVO BARREIRO;5;
202402;RS;431349;NOVO BARREIRO;0;
202401;RS;431349;NOVO BARREIRO;1;
202410;RS;430245;BOQUEIRÃO DO LEÃO;4;
202412;RS;430245;BOQUEIRÃO DO LEÃO;8;
202409;RS;430205;BENJAMIN CONSTANT DO SUL;0;
202406;RS;430085;ARAMBARÉ;3;
202409;RS;430085;ARAMBARÉ;0;
202404;RS;432252;VALE VERDE;2;
202401;RS;432290;VIADUTOS;1;
202407;RS;432170;TRÊS COROAS;27;
202408;RS;432170;TRÊS COROAS;13;
202410;RS;431342;NOVO MACHADO;2;
202405;RS;431344;NOVO TIRADENTES;4;
202408;RS;431301;NOVA CANDELÁRIA;5;
202412;RS;431301;NOVA CANDELÁRIA;5;
202406;RS;431301;NOVA CANDELÁRIA;3;
202410;RS;430230;BOM JESUS;4;
202411;RS;430165;BARÃO;3;
202409;RS;430165;BARÃO;2;
202410;RS;430187;BARRA DO QUARAÍ;3;
202408;RS;430195;BARRA FUNDA;2;
202405;RS;430195;BARRA FUNDA;3;
202412;RS;430180;BARRACÃO;0;
202411;RS;431240;MONTENEGRO;54;
202411;RS;431260;MUÇUM;4;
202406;RS;431260;MUÇUM;1;
202409;RS;431260;MUÇUM;1;
202412;RS;430210;BENTO GONÇALVES;60;
202401;RS;430170;BARÃO DE COTEGIPE;6;
202406;RS;430170;BARÃO DE COTEGIPE;4;
202405;RS;430170;BARÃO DE COTEGIPE;4;
202407;RS;431333;NOVA RAMADA;1;
202408;RS;431333;NOVA RAMADA;1;
202406;RS;431333;NOVA RAMADA;1;
202403;RS;431267;NICOLAU VERGUEIRO;1;
202409;RS;430045;ALEGRIA;3;
202406;RS;430057;ALTO FELIZ;1;
202409;RS;431220;MAXIMILIANO DE ALMEIDA;2;
202410;RS;431220;MAXIMILIANO DE ALMEIDA;2;
202405;RS;431190;MARCELINO RAMOS;0;
202412;RS;431215;MATO LEITÃO;5;
202411;RS;431215;MATO LEITÃO;3;
202405;RS;431235;MONTAURI;1;
202404;RS;430087;ARARICÁ;4;
202402;RS;430087;ARARICÁ;2;
202402;RS;431200;MARIANO MORO;1;
202403;RS;431160;LIBERATO SALZANO;3;
202411;RS;431164;LINHA NOVA;1;
202409;RS;432320;VICTOR GRAEFF;1;
202405;RS;432330;VILA FLORES;3;
202409;RS;432330;VILA FLORES;1;
202408;RS;431198;MARIANA PIMENTEL;2;
202405;RS;431205;MARQUES DE SOUZA;1;
202401;RS;432380;XANGRI-LÁ;11;
202411;RS;432285;VESPASIANO CORREA;1;
202407;RS;432340;VILA MARIA;0;
202412;RS;432340;VILA MARIA;1;
202408;RS;431115;JÓIA;6;
202411;RS;431115;JÓIA;8;
202410;RS;431115;JÓIA;2;
202408;RS;431130;LAGOA VERMELHA;12;
202410;RS;431130;LAGOA VERMELHA;33;
202402;RS;431130;LAGOA VERMELHA;15;
202401;RS;431130;LAGOA VERMELHA;26;
202408;RS;432180;TRÊS DE MAIO;17;
202409;RS;432180;TRÊS DE MAIO;17;
202406;RS;432200;TRIUNFO;9;
202408;RS;432215;TUNAS;1;
202402;RS;432220;TUPANCIRETÃ;11;
202403;RS;432220;TUPANCIRETÃ;10;
