Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia."
Probl/ Condição Avaliada: Puericultura.
Faixa Etária: De 0 até 7 dias.


Uf;Ibge;Municipio;Puericultura;
RS;431171;MAÇAMBARÁ;3;
RS;431405;PAROBÉ;72;
RS;430642;DOIS IRMÃOS DAS MISSÕES;3;
RS;430580;CONSTANTINA;53;
RS;430265;BROCHIER;11;
RS;431235;MONTAURI;4;
RS;432149;TOROPI;5;
RS;430560;COLORADO;1;
RS;430955;HARMONIA;9;
RS;432377;WESTFALIA;16;
RS;432210;TUCUNDUVA;4;
RS;430187;BARRA DO QUARAÍ;11;
RS;431795;SANTO EXPEDITO DO SUL;1;
RS;431115;JÓIA;3;
RS;430440;CANELA;94;
RS;430655;DOM PEDRO DE ALCÂNTARA;1;
RS;431080;IVOTI;10;
RS;431395;PANTANO GRANDE;15;
RS;431910;SÃO MARTINHO;18;
RS;432010;SARANDI;5;
RS;431675;SANTA CLARA DO SUL;32;
RS;430810;FELIZ;30;
RS;431210;MATA;12;
RS;432132;TAQUARUÇU DO SUL;4;
RS;431842;SÃO JOÃO DA URTIGA;3;
RS;431112;JAQUIRANA;2;
RS;432310;VICENTE DUTRA;6;
RS;431940;SÃO PEDRO DO SUL;18;
RS;430390;CAMPO BOM;85;
RS;431261;MUITOS CAPÕES;2;
RS;430540;CHIAPETTA;1;
RS;430850;FREDERICO WESTPHALEN;23;
RS;430593;CORONEL PILAR;5;
RS;430543;CHUÍ;1;
RS;430465;CAPÃO DO CIPÓ;16;
RS;430730;ERVAL SECO;39;
RS;431349;NOVO BARREIRO;11;
RS;430240;BOM RETIRO DO SUL;24;
RS;431780;SANTO AUGUSTO;29;
RS;431520;PUTINGA;2;
RS;430595;COTIPORÃ;3;
RS;430880;GENERAL CÂMARA;1;
RS;430960;HORIZONTINA;7;
RS;432030;SELBACH;4;
RS;431937;SÃO PEDRO DO BUTIÁ;4;
RS;432035;SENTINELA DO SUL;2;
RS;431262;MULITERNO;6;
RS;431270;NONOAI;1;
RS;431861;SÃO JOSÉ DO SUL;1;
RS;431339;NOVO CABRAIS;1;
RS;431120;JÚLIO DE CASTILHOS;8;
RS;430780;ESTRELA;111;
RS;432085;TABAÍ;6;
RS;431442;PICADA CAFÉ;3;
RS;430003;ACEGUÁ;10;
RS;430587;CORONEL BARROS;5;
RS;430100;ARROIO DO MEIO;74;
RS;431110;JAGUARI;11;
RS;430720;ERVAL GRANDE;2;
RS;431335;NOVA ROMA DO SUL;5;
RS;431085;JABOTICABA;1;
RS;430185;BARRA DO GUARITA;6;
RS;430055;ALTO ALEGRE;1;
RS;432195;TRINDADE DO SUL;12;
RS;431033;IMBÉ;24;
RS;430370;CAMPINA DAS MISSÕES;10;
RS;431320;NOVA PETRÓPOLIS;35;
RS;431750;SANTO ÂNGELO;412;
RS;431123;LAGOA BONITA DO SUL;1;
RS;432250;VACARIA;196;
RS;430805;FAXINALZINHO;4;
RS;431755;SANTO ANTÔNIO DO PALMA;30;
RS;431870;SÃO LEOPOLDO;97;
RS;430750;ESPUMOSO;67;
RS;430957;HERVEIRAS;3;
RS;430160;BAGÉ;66;
RS;431160;LIBERATO SALZANO;7;
RS;431030;ILÓPOLIS;1;
RS;431020;IJUÍ;180;
RS;431346;NOVO XINGU;2;
RS;430635;DEZESSEIS DE NOVEMBRO;2;
RS;431610;RONDA ALTA;7;
RS;432360;VISTA ALEGRE DO PRATA;9;
RS;430640;DOIS IRMÃOS;117;
RS;431960;SÃO SEPÉ;17;
RS;432300;VIAMÃO;142;
RS;430680;ENCANTADO;23;
RS;430885;GENTIL;4;
RS;431250;MOSTARDAS;10;
RS;430670;DONA FRANCISCA;2;
RS;431580;ROCA SALES;8;
RS;430090;ARATIBA;2;
RS;430607;CRISTAL DO SUL;1;
RS;431140;LAJEADO;227;
RS;431460;PIRATINI;6;
RS;432032;SENADOR SALGADO FILHO;16;
RS;430005;ÁGUA SANTA;2;
RS;431740;SANTIAGO;110;
RS;431242;MORMAÇO;5;
RS;431470;PLANALTO;45;
RS;432190;TRÊS PASSOS;74;
RS;430558;COLINAS;7;
RS;431455;PIRAPÓ;3;
RS;430495;CASEIROS;3;
RS;431410;PASSO FUNDO;232;
RS;430990;IBIRAIARAS;3;
RS;430237;BOM PROGRESSO;1;
RS;430463;CAPÃO DA CANOA;20;
RS;431215;MATO LEITÃO;5;
RS;430410;CAMPOS BORGES;1;
RS;431340;NOVO HAMBURGO;355;
RS;430632;DERRUBADAS;2;
RS;430258;BOZANO;1;
RS;431407;PASSO DO SOBRADO;2;
RS;430245;BOQUEIRÃO DO LEÃO;7;
RS;430900;GIRUÁ;60;
RS;430064;AMETISTA DO SUL;2;
RS;432270;VERA CRUZ;72;
RS;431402;PARAÍSO DO SUL;3;
RS;431275;NOVA ALVORADA;28;
RS;431505;PORTO MAUÁ;1;
RS;431310;NOVA PALMA;3;
RS;432140;TENENTE PORTELA;14;
RS;430600;CRISSIUMAL;4;
RS;430040;ALEGRETE;204;
RS;431680;SANTA CRUZ DO SUL;145;
RS;431477;PONTÃO;8;
RS;431180;MARAU;137;
RS;432145;TEUTÔNIA;177;
RS;431213;MATO CASTELHANO;9;
RS;431380;PALMITINHO;5;
RS;432100;TAPERA;8;
RS;432080;SOLEDADE;86;
RS;431075;IVORÁ;1;
RS;430223;BOA VISTA DO INCRA;2;
RS;431770;SANTO ANTÔNIO DAS MISSÕES;5;
RS;432375;VITÓRIA DAS MISSÕES;7;
RS;431660;SANANDUVA;36;
RS;430155;ÁUREA;1;
RS;430570;CONDOR;44;
RS;430105;ARROIO DO SAL;11;
RS;431260;MUÇUM;1;
RS;431670;SANTA BÁRBARA DO SUL;29;
RS;431198;MARIANA PIMENTEL;6;
RS;431840;SÃO JERÔNIMO;28;
RS;432350;VISTA ALEGRE;1;
RS;430605;CRISTAL;11;
RS;432232;TURUÇU;3;
RS;431535;QUINZE DE NOVEMBRO;21;
RS;430544;CHUVISCA;19;
RS;430760;ESTÂNCIA VELHA;47;
RS;430280;CAÇAPAVA DO SUL;23;
RS;431555;RIO DOS ÍNDIOS;1;
RS;432045;SÉRIO;2;
RS;430820;FLORES DA CUNHA;12;
RS;430807;FAZENDA VILANOVA;13;
RS;430515;CERRO GRANDE;12;
RS;430450;CANGUÇU;39;
RS;432090;TAPEJARA;27;
RS;430085;ARAMBARÉ;8;
RS;430620;CRUZEIRO DO SUL;5;
RS;430800;FAXINAL DO SOTURNO;5;
RS;431970;SÃO VALENTIM;21;
RS;431306;NOVA HARTZ;17;
RS;431370;PALMEIRA DAS MISSÕES;68;
RS;430517;CERRO GRANDE DO SUL;7;
RS;431475;POÇO DAS ANTAS;3;
RS;430590;CORONEL BICACO;1;
RS;431060;ITAQUI;4;
RS;430870;GAURAMA;7;
RS;431550;RESTINGA SECA;48;
RS;430840;FORMIGUEIRO;6;
RS;432320;VICTOR GRAEFF;2;
RS;430290;CACEQUI;3;
RS;432065;SILVEIRA MARTINS;1;
RS;431478;PONTE PRETA;1;
RS;431846;SÃO JOSÉ DO HERVAL;3;
RS;430165;BARÃO;10;
RS;431820;SÃO FRANCISCO DE PAULA;19;
RS;431100;JAGUARÃO;16;
RS;431230;MIRAGUAÍ;3;
RS;430466;CAPÃO DO LEÃO;38;
RS;432146;TIO HUGO;3;
RS;431775;SANTO ANTÔNIO DO PLANALTO;1;
RS;431308;NOVA PÁDUA;6;
RS;430220;BOA VISTA DO BURICÁ;16;
RS;430150;AUGUSTO PESTANA;18;
RS;431053;ITAARA;3;
RS;430010;AGUDO;22;
RS;430695;ENTRE RIOS DO SUL;3;
RS;430783;EUGÊNIO DE CASTRO;12;
RS;432200;TRIUNFO;5;
RS;432110;TAPES;15;
RS;432130;TAQUARI;20;
RS;432345;VILA NOVA DO SUL;3;
RS;430500;CATUÍPE;30;
RS;432143;TERRA DE AREIA;2;
RS;430190;BARRA DO RIBEIRO;8;
RS;432070;SOBRADINHO;4;
RS;431647;SALVADOR DAS MISSÕES;4;
RS;431720;SANTA ROSA;94;
RS;431848;SÃO JOSÉ DO HORTÊNCIO;1;
RS;431673;SANTA CECÍLIA DO SUL;3;
RS;430975;IBARAMA;26;
RS;430380;CAMPINAS DO SUL;1;
RS;430355;CAMARGO;5;
RS;430920;GRAVATAÍ;264;
RS;431406;PASSA SETE;11;
RS;430890;GETÚLIO VARGAS;22;
RS;431880;SÃO LOURENÇO DO SUL;46;
RS;430130;ARROIO GRANDE;9;
RS;430845;FORTALEZA DOS VALOS;4;
RS;431087;JACUIZINHO;5;
RS;431050;IRAÍ;14;
RS;432254;VALE REAL;9;
RS;432150;TORRES;58;
RS;430693;ENTRE-IJUÍS;2;
RS;431630;ROQUE GONZALES;9;
RS;431980;SÃO VICENTE DO SUL;4;
RS;431645;SALTO DO JACUÍ;3;
RS;432280;VERANÓPOLIS;30;
RS;430660;DOM PEDRITO;33;
RS;432252;VALE VERDE;15;
RS;432260;VENÂNCIO AIRES;1;
RS;431990;SAPIRANGA;81;
RS;430673;DOUTOR MAURÍCIO CARDOSO;5;
RS;432023;SEDE NOVA;4;
RS;431912;SÃO MARTINHO DA SERRA;1;
RS;431800;SÃO BORJA;99;
RS;432160;TRAMANDAÍ;137;
RS;431845;SÃO JOSÉ DAS MISSÕES;8;
