Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia."
Probl/ Condição Avaliada: Puerpério (até 42 dias).


Uf;Ibge;Municipio;Puerpério (até 42 dias);
RS;430620;CRUZEIRO DO SUL;3;
RS;430820;FLORES DA CUNHA;2;
RS;430807;FAZENDA VILANOVA;1;
RS;430515;CERRO GRANDE;2;
RS;432090;TAPEJARA;118;
RS;430450;CANGUÇU;4;
RS;430085;ARAMBARÉ;2;
RS;430840;FORMIGUEIRO;38;
RS;431306;NOVA HARTZ;6;
RS;431370;PALMEIRA DAS MISSÕES;17;
RS;430630;DAVID CANABARRO;2;
RS;430517;CERRO GRANDE DO SUL;1;
RS;431475;POÇO DAS ANTAS;1;
RS;430590;CORONEL BICACO;2;
RS;431060;ITAQUI;25;
RS;431550;RESTINGA SECA;6;
RS;430290;CACEQUI;1;
RS;432065;SILVEIRA MARTINS;2;
RS;431478;PONTE PRETA;1;
RS;432146;TIO HUGO;4;
RS;431820;SÃO FRANCISCO DE PAULA;97;
RS;431100;JAGUARÃO;122;
RS;430466;CAPÃO DO LEÃO;27;
RS;431775;SANTO ANTÔNIO DO PLANALTO;7;
RS;431308;NOVA PÁDUA;1;
RS;431810;SÃO FRANCISCO DE ASSIS;1;
RS;430220;BOA VISTA DO BURICÁ;3;
RS;430150;AUGUSTO PESTANA;33;
RS;431575;RIOZINHO;15;
RS;430400;CAMPO NOVO;20;
RS;431053;ITAARA;4;
RS;430010;AGUDO;8;
RS;430783;EUGÊNIO DE CASTRO;24;
RS;430355;CAMARGO;1;
RS;432200;TRIUNFO;65;
RS;432110;TAPES;3;
RS;432345;VILA NOVA DO SUL;1;
RS;430500;CATUÍPE;2;
RS;432143;TERRA DE AREIA;7;
RS;430190;BARRA DO RIBEIRO;1;
RS;432070;SOBRADINHO;100;
RS;431720;SANTA ROSA;621;
RS;431848;SÃO JOSÉ DO HORTÊNCIO;1;
RS;430975;IBARAMA;1;
RS;430380;CAMPINAS DO SUL;1;
RS;431880;SÃO LOURENÇO DO SUL;98;
RS;430920;GRAVATAÍ;100;
RS;431406;PASSA SETE;5;
RS;430890;GETÚLIO VARGAS;64;
RS;430990;IBIRAIARAS;18;
RS;431200;MARIANO MORO;1;
RS;431242;MORMAÇO;1;
RS;431470;PLANALTO;3;
RS;432190;TRÊS PASSOS;7;
RS;431410;PASSO FUNDO;66;
RS;430781;ESTRELA VELHA;19;
RS;430463;CAPÃO DA CANOA;317;
RS;430410;CAMPOS BORGES;2;
RS;431340;NOVO HAMBURGO;1.024;
RS;432270;VERA CRUZ;12;
RS;430258;BOZANO;1;
RS;431407;PASSO DO SOBRADO;6;
RS;430215;BOA VISTA DAS MISSÕES;2;
RS;430245;BOQUEIRÃO DO LEÃO;7;
RS;430900;GIRUÁ;11;
RS;430064;AMETISTA DO SUL;10;
RS;431402;PARAÍSO DO SUL;2;
RS;431213;MATO CASTELHANO;5;
RS;431380;PALMITINHO;3;
RS;431310;NOVA PALMA;1;
RS;431365;PALMARES DO SUL;19;
RS;432140;TENENTE PORTELA;1;
RS;430600;CRISSIUMAL;1;
RS;430040;ALEGRETE;106;
RS;431680;SANTA CRUZ DO SUL;354;
RS;431477;PONTÃO;2;
RS;431180;MARAU;335;
RS;432145;TEUTÔNIA;9;
RS;430570;CONDOR;6;
RS;432100;TAPERA;37;
RS;432080;SOLEDADE;64;
RS;431770;SANTO ANTÔNIO DAS MISSÕES;9;
RS;430223;BOA VISTA DO INCRA;8;
RS;431660;SANANDUVA;2;
RS;430155;ÁUREA;1;
RS;432234;UBIRETAMA;3;
RS;430105;ARROIO DO SAL;33;
RS;431260;MUÇUM;2;
RS;431670;SANTA BÁRBARA DO SUL;16;
RS;431198;MARIANA PIMENTEL;1;
RS;431840;SÃO JERÔNIMO;14;
RS;432350;VISTA ALEGRE;1;
RS;430605;CRISTAL;30;
RS;432232;TURUÇU;1;
RS;431535;QUINZE DE NOVEMBRO;2;
RS;430544;CHUVISCA;7;
RS;430760;ESTÂNCIA VELHA;24;
RS;430280;CAÇAPAVA DO SUL;48;
RS;431555;RIO DOS ÍNDIOS;1;
RS;430270;BUTIÁ;4;
RS;430512;CERRITO;1;
RS;431805;SÃO DOMINGOS DO SUL;2;
RS;430537;CHARRUA;6;
RS;431440;PELOTAS;87;
RS;431420;PEDRO OSÓRIO;10;
RS;431480;PORTÃO;110;
RS;431240;MONTENEGRO;12;
RS;431490;PORTO ALEGRE;501;
RS;431843;SÃO JOÃO DO POLÊSINE;11;
RS;430995;IBIRAPUITÃ;3;
RS;431220;MAXIMILIANO DE ALMEIDA;8;
RS;430120;ARROIO DO TIGRE;98;
RS;430140;ARVOREZINHA;6;
RS;431295;NOVA BOA VISTA;3;
RS;431000;IBIRUBÁ;90;
RS;432180;TRÊS DE MAIO;1;
RS;431350;OSÓRIO;7;
RS;432185;TRÊS PALMEIRAS;3;
RS;430340;CAIÇARA;5;
RS;430060;ALVORADA;46;
RS;430637;DILERMANDO DE AGUIAR;3;
RS;430480;CARLOS BARBOSA;1;
RS;430170;BARÃO DE COTEGIPE;7;
RS;430530;CHAPADA;1;
RS;430790;FARROUPILHA;6;
RS;431446;PINHAL DA SERRA;3;
RS;430087;ARARICÁ;3;
RS;431862;SÃO JOSÉ DOS AUSENTES;1;
RS;430970;HUMAITÁ;4;
RS;430610;CRUZ ALTA;54;
RS;431640;ROSÁRIO DO SUL;117;
RS;431514;PRESIDENTE LUCENA;16;
RS;430710;HERVAL;5;
RS;431070;ITATIBA DO SUL;1;
RS;430770;ESTEIO;354;
RS;432000;SAPUCAIA DO SUL;562;
RS;431860;SÃO JOSÉ DO OURO;1;
RS;431650;SALVADOR DO SUL;3;
RS;430471;CARAÁ;1;
RS;431915;SÃO MIGUEL DAS MISSÕES;2;
RS;431950;SÃO SEBASTIÃO DO CAÍ;64;
RS;431890;SÃO LUIZ GONZAGA;7;
RS;432220;TUPANCIRETÃ;72;
RS;430950;GUARANI DAS MISSÕES;17;
RS;430585;COQUEIROS DO SUL;3;
RS;431280;NOVA ARAÇÁ;6;
RS;430050;ALPESTRE;1;
RS;430676;ELDORADO DO SUL;93;
RS;430030;ALECRIM;2;
RS;430470;CARAZINHO;1;
RS;431730;SANTA VITÓRIA DO PALMAR;111;
RS;431620;RONDINHA;4;
RS;430020;AJURICABA;5;
RS;431235;MONTAURI;3;
RS;432149;TOROPI;1;
RS;431171;MAÇAMBARÁ;2;
RS;431405;PAROBÉ;356;
RS;430642;DOIS IRMÃOS DAS MISSÕES;1;
RS;430580;CONSTANTINA;7;
RS;431360;PAIM FILHO;1;
RS;430560;COLORADO;1;
RS;430955;HARMONIA;4;
RS;430440;CANELA;245;
RS;432210;TUCUNDUVA;2;
RS;430187;BARRA DO QUARAÍ;3;
RS;431795;SANTO EXPEDITO DO SUL;2;
RS;431115;JÓIA;2;
RS;431695;SANTA MARIA DO HERVAL;36;
RS;430655;DOM PEDRO DE ALCÂNTARA;1;
RS;431080;IVOTI;78;
RS;432010;SARANDI;7;
RS;431675;SANTA CLARA DO SUL;4;
RS;430810;FELIZ;69;
RS;431395;PANTANO GRANDE;35;
RS;431910;SÃO MARTINHO;3;
RS;431940;SÃO PEDRO DO SUL;2;
RS;430390;CAMPO BOM;173;
RS;431210;MATA;37;
RS;432132;TAQUARUÇU DO SUL;4;
RS;431930;SÃO PAULO DAS MISSÕES;3;
RS;431112;JAQUIRANA;5;
RS;430350;CAMAQUÃ;1;
RS;431237;MONTE ALEGRE DOS CAMPOS;2;
RS;432310;VICENTE DUTRA;4;
RS;430540;CHIAPETTA;1;
RS;430543;CHUÍ;7;
RS;430850;FREDERICO WESTPHALEN;2;
RS;430593;CORONEL PILAR;2;
RS;430693;ENTRE-IJUÍS;27;
RS;430130;ARROIO GRANDE;45;
RS;430845;FORTALEZA DOS VALOS;1;
RS;431050;IRAÍ;5;
RS;430467;CAPIVARI DO SUL;28;
RS;432254;VALE REAL;1;
RS;432150;TORRES;77;
RS;431980;SÃO VICENTE DO SUL;3;
RS;431630;ROQUE GONZALES;8;
RS;432280;VERANÓPOLIS;5;
RS;430660;DOM PEDRITO;4;
RS;431645;SALTO DO JACUÍ;11;
RS;432260;VENÂNCIO AIRES;18;
RS;431990;SAPIRANGA;1;
RS;430673;DOUTOR MAURÍCIO CARDOSO;6;
RS;432023;SEDE NOVA;3;
RS;431912;SÃO MARTINHO DA SERRA;4;
RS;431800;SÃO BORJA;27;
RS;432160;TRAMANDAÍ;228;
RS;431247;MORRO REUTER;11;
RS;430915;GRAMADO XAVIER;14;
RS;431170;MACHADINHO;35;
RS;431590;RODEIO BONITO;10;
RS;431175;MANOEL VIANA;44;
RS;431330;NOVA PRATA;13;
RS;430545;CIDREIRA;3;
RS;430597;COXILHA;7;
RS;432120;TAQUARA;321;
RS;432255;VANINI;10;
RS;430905;GLORINHA;5;
RS;431445;PINHAL;25;
RS;430940;GUAPORÉ;20;
RS;432370;VISTA GAÚCHA;2;
RS;430468;CAPELA DE SANTANA;2;
RS;430057;ALTO FELIZ;7;
RS;431173;MAMPITUBA;1;
RS;430110;ARROIO DOS RATOS;1;
RS;432055;SERTÃO SANTANA;30;
RS;431113;JARI;9;
RS;430250;BOSSOROCA;3;
RS;430650;DOM FELICIANO;6;
RS;432380;XANGRI-LÁ;82;
RS;431164;LINHA NOVA;1;
RS;432237;UNISTALDA;1;
RS;432330;VILA FLORES;3;
RS;432170;TRÊS COROAS;96;
RS;431290;NOVA BASSANO;1;
RS;432218;TUPANCI DO SUL;2;
RS;430705;ERNESTINA;3;
RS;430510;CAXIAS DO SUL;81;
RS;431300;NOVA BRÉSCIA;1;
RS;431150;LAVRAS DO SUL;1;
RS;431245;MORRO REDONDO;1;
RS;430740;ESMERALDA;3;
RS;431043;IPÊ;9;
RS;430047;ALMIRANTE TAMANDARÉ DO SUL;1;
