Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Tipo de Produção: Procedimento.
"SIGTAP: (0214010040) Teste Rapido Para Deteccao De Hiv Na Gestante Ou Pai/Parceiro, (0214010082) Teste Rapido Para Sifilis Na Gestante Ou Pai/Parceiro, (0214010090) Teste Rapido Para Deteccao De Hepatite C, (0301010234) Consulta Pre-Natal Do Parceiro, (0214010066) Teste Rapido De Gravidez."


Uf;Ibge;Municipio;(0214010040) Teste Rapido Para;(0214010082) Teste Rapido Para;(0214010090) Teste Rapido Para;(0301010234) Consulta Pre-Nata;(0214010066) Teste Rapido De G;
RS;431240;MONTENEGRO;668;666;2.715;87;258;
RS;431843;SÃO JOÃO DO POLÊSINE;30;29;38;26;13;
RS;430537;CHARRUA;10;10;10;5;0;
RS;431490;PORTO ALEGRE;17.247;16.385;55.996;450;28.684;
RS;430995;IBIRAPUITÃ;22;20;14;0;3;
RS;431805;SÃO DOMINGOS DO SUL;146;144;82;27;13;
RS;431480;PORTÃO;23;24;846;0;279;
RS;431440;PELOTAS;1.002;926;6.104;14;3.695;
RS;430512;CERRITO;12;17;30;5;6;
RS;431697;SANTA MARGARIDA DO SUL;22;19;45;1;8;
RS;431545;RELVADO;23;24;98;6;4;
RS;431420;PEDRO OSÓRIO;68;68;135;2;9;
RS;430066;ANDRÉ DA ROCHA;12;13;68;10;19;
RS;432253;VALE DO SOL;136;142;267;42;58;
RS;431295;NOVA BOA VISTA;62;62;289;5;0;
RS;430120;ARROIO DO TIGRE;185;175;560;64;20;
RS;432215;TUNAS;88;87;106;28;0;
RS;432180;TRÊS DE MAIO;353;348;873;29;98;
RS;430140;ARVOREZINHA;183;182;397;36;1;
RS;431220;MAXIMILIANO DE ALMEIDA;52;50;218;31;3;
RS;431000;IBIRUBÁ;821;794;2.232;292;25;
RS;430480;CARLOS BARBOSA;248;32;2.491;82;187;
RS;430060;ALVORADA;3.657;3.381;13.018;106;5.995;
RS;430340;CAIÇARA;95;93;137;18;2;
RS;431350;OSÓRIO;2.149;1.993;4.442;81;828;
RS;430637;DILERMANDO DE AGUIAR;35;32;21;12;20;
RS;432185;TRÊS PALMEIRAS;73;72;43;14;0;
RS;430435;CANDIOTA;343;335;374;28;4;
RS;431446;PINHAL DA SERRA;42;38;63;13;3;
RS;431862;SÃO JOSÉ DOS AUSENTES;88;87;133;1;7;
RS;430170;BARÃO DE COTEGIPE;52;52;88;29;0;
RS;431517;PROTÁSIO ALVES;33;33;88;9;4;
RS;430530;CHAPADA;72;70;378;0;0;
RS;430087;ARARICÁ;4;5;148;3;5;
RS;430790;FARROUPILHA;925;900;3.783;101;649;
RS;430970;HUMAITÁ;10;10;29;2;0;
RS;430786;FAGUNDES VARELA;66;67;51;14;2;
RS;431514;PRESIDENTE LUCENA;40;38;134;2;3;
RS;430330;CAIBATÉ;71;70;84;32;38;
RS;430710;HERVAL;169;162;190;23;64;
RS;431342;NOVO MACHADO;10;10;0;4;0;
RS;430461;CANUDOS DO VALE;15;15;83;1;2;
RS;432235;UNIÃO DA SERRA;0;0;0;7;0;
RS;432340;VILA MARIA;21;21;126;4;1;
RS;431640;ROSÁRIO DO SUL;298;295;1.006;4;268;
RS;430610;CRUZ ALTA;1.291;1.237;3.679;62;639;
RS;430912;GRAMADO DOS LOUREIROS;49;42;7;2;3;
RS;431070;ITATIBA DO SUL;20;20;61;8;0;
RS;430471;CARAÁ;43;43;144;14;41;
RS;431650;SALVADOR DO SUL;102;100;317;38;46;
RS;431915;SÃO MIGUEL DAS MISSÕES;112;107;144;6;44;
RS;430770;ESTEIO;735;697;3.292;5;1.691;
RS;431860;SÃO JOSÉ DO OURO;76;74;96;1;8;
RS;432000;SAPUCAIA DO SUL;1.000;998;6.888;153;2.861;
RS;431280;NOVA ARAÇÁ;47;45;184;13;11;
RS;431643;SALDANHA MARINHO;45;44;102;10;29;
RS;431971;SÃO VALENTIM DO SUL;25;24;423;0;1;
RS;431890;SÃO LUIZ GONZAGA;302;292;1.261;41;107;
RS;432220;TUPANCIRETÃ;230;303;742;22;11;
RS;431301;NOVA CANDELÁRIA;57;52;153;11;2;
RS;430950;GUARANI DAS MISSÕES;59;54;80;117;14;
RS;431950;SÃO SEBASTIÃO DO CAÍ;142;144;668;1;167;
RS;430469;CAPITÃO;114;112;234;53;7;
RS;430585;COQUEIROS DO SUL;28;28;67;2;5;
RS;431513;POUSO NOVO;42;42;85;3;4;
RS;430050;ALPESTRE;218;214;425;24;17;
RS;430470;CARAZINHO;741;721;2.041;21;189;
RS;430030;ALECRIM;56;56;63;24;0;
RS;431620;RONDINHA;77;74;119;21;0;
RS;430676;ELDORADO DO SUL;234;241;595;12;539;
RS;431730;SANTA VITÓRIA DO PALMAR;274;266;946;4;181;
RS;430020;AJURICABA;97;95;223;27;62;
RS;430580;CONSTANTINA;408;400;278;24;35;
RS;430642;DOIS IRMÃOS DAS MISSÕES;11;11;28;2;3;
RS;430265;BROCHIER;47;46;180;9;9;
RS;431405;PAROBÉ;3.283;3.275;11.540;76;606;
RS;431171;MAÇAMBARÁ;46;45;162;16;2;
RS;432149;TOROPI;20;20;197;3;0;
RS;431235;MONTAURI;0;0;199;16;3;
RS;430955;HARMONIA;54;52;159;6;21;
RS;431360;PAIM FILHO;15;11;47;2;1;
RS;432377;WESTFALIA;53;52;162;4;7;
RS;430560;COLORADO;40;39;104;10;13;
RS;430925;GUABIJU;1;1;7;1;0;
RS;431115;JÓIA;85;83;328;29;43;
RS;431795;SANTO EXPEDITO DO SUL;7;7;5;4;0;
RS;430440;CANELA;295;298;944;17;303;
RS;432210;TUCUNDUVA;53;54;171;23;8;
RS;430187;BARRA DO QUARAÍ;20;10;65;0;31;
RS;431080;IVOTI;276;278;860;41;101;
RS;431695;SANTA MARIA DO HERVAL;2;2;126;2;3;
RS;430655;DOM PEDRO DE ALCÂNTARA;11;11;4;2;0;
RS;431675;SANTA CLARA DO SUL;130;126;478;104;129;
RS;431190;MARCELINO RAMOS;25;26;57;9;0;
RS;430810;FELIZ;92;96;583;20;189;
RS;432010;SARANDI;210;202;555;36;14;
RS;431217;MATO QUEIMADO;66;66;74;18;0;
RS;431395;PANTANO GRANDE;147;146;340;18;45;
RS;431910;SÃO MARTINHO;63;62;121;2;39;
RS;431112;JAQUIRANA;95;95;229;32;217;
RS;430350;CAMAQUÃ;1.133;1.143;2.896;0;83;
RS;431842;SÃO JOÃO DA URTIGA;17;16;95;3;7;
RS;431940;SÃO PEDRO DO SUL;156;147;390;34;0;
RS;432310;VICENTE DUTRA;52;52;61;2;14;
RS;432132;TAQUARUÇU DO SUL;3;3;0;7;3;
RS;430390;CAMPO BOM;535;545;3.720;52;894;
RS;431237;MONTE ALEGRE DOS CAMPOS;27;27;62;3;26;
RS;431210;MATA;91;91;129;67;18;
RS;431930;SÃO PAULO DAS MISSÕES;88;88;106;29;0;
RS;430540;CHIAPETTA;36;34;72;7;2;
RS;431261;MUITOS CAPÕES;4;0;25;4;10;
RS;430593;CORONEL PILAR;8;6;43;3;0;
RS;430543;CHUÍ;162;162;238;60;14;
RS;430850;FREDERICO WESTPHALEN;698;697;2.093;143;68;
RS;432190;TRÊS PASSOS;426;422;994;45;104;
RS;431455;PIRAPÓ;24;25;36;1;2;
RS;431242;MORMAÇO;40;39;63;21;1;
RS;430990;IBIRAIARAS;53;54;300;9;63;
RS;431410;PASSO FUNDO;2.724;2.612;8.307;316;2.036;
RS;430495;CASEIROS;54;53;98;17;6;
RS;431200;MARIANO MORO;0;0;10;4;2;
RS;430781;ESTRELA VELHA;42;42;27;12;3;
RS;431470;PLANALTO;148;144;148;5;8;
RS;430558;COLINAS;48;48;98;15;20;
RS;430463;CAPÃO DA CANOA;1.469;1.618;4.728;49;1.377;
RS;431215;MATO LEITÃO;93;93;357;47;41;
RS;430410;CAMPOS BORGES;55;56;133;24;2;
RS;430237;BOM PROGRESSO;36;35;59;21;0;
RS;431600;ROLANTE;327;315;1.497;55;499;
RS;431340;NOVO HAMBURGO;2.156;2.088;11.116;290;5.476;
RS;430215;BOA VISTA DAS MISSÕES;16;16;15;18;5;
RS;432270;VERA CRUZ;417;402;1.123;48;19;
RS;431407;PASSO DO SOBRADO;59;47;103;10;11;
RS;430258;BOZANO;5;5;102;3;27;
RS;430632;DERRUBADAS;37;36;65;3;1;
RS;430245;BOQUEIRÃO DO LEÃO;69;68;307;17;57;
RS;430900;GIRUÁ;186;186;397;29;0;
RS;432060;SEVERIANO DE ALMEIDA;0;0;0;2;0;
RS;430064;AMETISTA DO SUL;129;116;196;22;1;
RS;431275;NOVA ALVORADA;70;68;431;46;47;
RS;431505;PORTO MAUÁ;17;17;26;7;0;
RS;432290;VIADUTOS;0;0;0;2;0;
RS;431402;PARAÍSO DO SUL;19;16;21;0;6;
RS;431380;PALMITINHO;227;225;365;73;14;
RS;430040;ALEGRETE;397;383;1.389;28;240;
RS;431310;NOVA PALMA;9;9;12;10;2;
RS;431477;PONTÃO;8;7;7;8;0;
RS;431180;MARAU;999;982;5.062;71;823;
RS;431680;SANTA CRUZ DO SUL;1.210;1.161;6.726;42;980;
RS;431213;MATO CASTELHANO;34;34;83;5;3;
RS;432140;TENENTE PORTELA;122;118;208;39;4;
RS;432145;TEUTÔNIA;1.072;1.062;3.820;28;457;
