Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
Data Ultima Carga: 24/03/2025
"Competência: DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Indicador: Número de gestantes com exames avaliados até a 20° semana.
Nível: Municipio.


Competência;Uf;Ibge;Municipio;Exames até 20sem;
202404;RS;430580;CONSTANTINA;2;
202408;RS;431730;SANTA VITÓRIA DO PALMAR;2;
202406;RS;431730;SANTA VITÓRIA DO PALMAR;2;
202409;RS;431647;SALVADOR DAS MISSÕES;0;
202404;RS;431647;SALVADOR DAS MISSÕES;1;
202410;RS;431660;SANANDUVA;2;
202412;RS;430690;ENCRUZILHADA DO SUL;0;
202405;RS;430690;ENCRUZILHADA DO SUL;2;
202406;RS;430690;ENCRUZILHADA DO SUL;2;
202404;RS;430695;ENTRE RIOS DO SUL;0;
202405;RS;430695;ENTRE RIOS DO SUL;0;
202403;RS;430730;ERVAL SECO;3;
202410;RS;430730;ERVAL SECO;0;
202401;RS;430730;ERVAL SECO;2;
202407;RS;430755;ESTAÇÃO;1;
202403;RS;430783;EUGÊNIO DE CASTRO;0;
202405;RS;430635;DEZESSEIS DE NOVEMBRO;1;
202403;RS;430635;DEZESSEIS DE NOVEMBRO;1;
202410;RS;431560;RIO GRANDE;40;
202406;RS;431630;ROQUE GONZALES;2;
202404;RS;431630;ROQUE GONZALES;2;
202407;RS;431630;ROQUE GONZALES;1;
202411;RS;431630;ROQUE GONZALES;0;
202411;RS;430587;CORONEL BARROS;0;
202410;RS;430597;COXILHA;0;
202412;RS;430607;CRISTAL DO SUL;2;
202406;RS;430607;CRISTAL DO SUL;1;
202408;RS;430607;CRISTAL DO SUL;1;
202401;RS;430513;CERRO BRANCO;2;
202406;RS;430530;CHAPADA;3;
202404;RS;430550;CIRÍACO;0;
202408;RS;431575;RIOZINHO;0;
202407;RS;430660;DOM PEDRITO;12;
202406;RS;430660;DOM PEDRITO;8;
202412;RS;430570;CONDOR;3;
202409;RS;431643;SALDANHA MARINHO;0;
202406;RS;431535;QUINZE DE NOVEMBRO;0;
202412;RS;431535;QUINZE DE NOVEMBRO;0;
202407;RS;431490;PORTO ALEGRE;159;
202403;RS;431490;PORTO ALEGRE;110;
202404;RS;431490;PORTO ALEGRE;143;
202402;RS;430495;CASEIROS;0;
202405;RS;430510;CAXIAS DO SUL;0;
202412;RS;430510;CAXIAS DO SUL;1;
202410;RS;430510;CAXIAS DO SUL;6;
202401;RS;431645;SALTO DO JACUÍ;2;
202411;RS;431645;SALTO DO JACUÍ;1;
202403;RS;431532;QUEVEDOS;0;
202405;RS;431532;QUEVEDOS;1;
202408;RS;431540;REDENTORA;0;
202406;RS;431540;REDENTORA;0;
202411;RS;431540;REDENTORA;0;
202407;RS;430545;CIDREIRA;3;
202410;RS;430545;CIDREIRA;1;
202403;RS;430545;CIDREIRA;2;
202404;RS;430545;CIDREIRA;0;
202403;RS;431500;PORTO LUCENA;0;
202405;RS;431515;PROGRESSO;3;
202403;RS;430435;CANDIOTA;2;
202401;RS;430435;CANDIOTA;5;
202405;RS;430463;CAPÃO DA CANOA;3;
