Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Tipo de Produção: Visita Domiciliar.
Motivo da Visita: Acomp.  Recém-nascido.
Faixa Etária: De 0 até 7 dias.


Uf;Ibge;Municipio;Acomp.  Recém-nascido;
RS;432253;VALE DO SOL;5;
RS;431480;PORTÃO;6;
RS;431240;MONTENEGRO;12;
RS;431697;SANTA MARGARIDA DO SUL;3;
RS;431490;PORTO ALEGRE;588;
RS;431545;RELVADO;1;
RS;431843;SÃO JOÃO DO POLÊSINE;2;
RS;430512;CERRITO;1;
RS;431805;SÃO DOMINGOS DO SUL;5;
RS;431440;PELOTAS;44;
RS;430120;ARROIO DO TIGRE;17;
RS;430140;ARVOREZINHA;2;
RS;431295;NOVA BOA VISTA;6;
RS;432215;TUNAS;2;
RS;431000;IBIRUBÁ;40;
RS;432180;TRÊS DE MAIO;21;
RS;431220;MAXIMILIANO DE ALMEIDA;1;
RS;431350;OSÓRIO;27;
RS;430340;CAIÇARA;1;
RS;430060;ALVORADA;30;
RS;430637;DILERMANDO DE AGUIAR;1;
RS;430530;CHAPADA;3;
RS;430790;FARROUPILHA;11;
RS;431446;PINHAL DA SERRA;1;
RS;430087;ARARICÁ;5;
RS;431862;SÃO JOSÉ DOS AUSENTES;4;
RS;430970;HUMAITÁ;2;
RS;430786;FAGUNDES VARELA;1;
RS;430170;BARÃO DE COTEGIPE;5;
RS;430912;GRAMADO DOS LOUREIROS;1;
RS;430330;CAIBATÉ;6;
RS;431640;ROSÁRIO DO SUL;2;
RS;430610;CRUZ ALTA;79;
RS;431342;NOVO MACHADO;5;
RS;430770;ESTEIO;62;
RS;432000;SAPUCAIA DO SUL;49;
RS;431860;SÃO JOSÉ DO OURO;2;
RS;430471;CARAÁ;2;
RS;431915;SÃO MIGUEL DAS MISSÕES;8;
RS;431890;SÃO LUIZ GONZAGA;4;
RS;430676;ELDORADO DO SUL;9;
RS;430030;ALECRIM;5;
RS;430470;CARAZINHO;17;
RS;431730;SANTA VITÓRIA DO PALMAR;6;
RS;431620;RONDINHA;1;
RS;430020;AJURICABA;3;
RS;430050;ALPESTRE;3;
RS;430693;ENTRE-IJUÍS;19;
RS;431087;JACUIZINHO;1;
RS;431050;IRAÍ;1;
RS;430467;CAPIVARI DO SUL;5;
RS;432254;VALE REAL;1;
RS;432150;TORRES;4;
RS;431630;ROQUE GONZALES;1;
RS;431980;SÃO VICENTE DO SUL;5;
RS;430660;DOM PEDRITO;1;
RS;431645;SALTO DO JACUÍ;3;
RS;432280;VERANÓPOLIS;6;
RS;432260;VENÂNCIO AIRES;6;
RS;431990;SAPIRANGA;6;
RS;430673;DOUTOR MAURÍCIO CARDOSO;1;
RS;431800;SÃO BORJA;41;
RS;432160;TRAMANDAÍ;10;
RS;431247;MORRO REUTER;4;
RS;431177;MAQUINÉ;1;
RS;431170;MACHADINHO;1;
RS;431040;INDEPENDÊNCIA;5;
RS;431330;NOVA PRATA;8;
RS;430597;COXILHA;2;
RS;432120;TAQUARA;72;
RS;432255;VANINI;1;
RS;431540;REDENTORA;2;
RS;431445;PINHAL;3;
RS;430940;GUAPORÉ;1;
RS;430468;CAPELA DE SANTANA;2;
RS;430545;CIDREIRA;10;
RS;431173;MAMPITUBA;1;
RS;430110;ARROIO DOS RATOS;11;
RS;432055;SERTÃO SANTANA;1;
RS;430250;BOSSOROCA;3;
RS;430195;BARRA FUNDA;1;
RS;432380;XANGRI-LÁ;10;
RS;430511;CENTENÁRIO;1;
RS;430057;ALTO FELIZ;2;
RS;432330;VILA FLORES;7;
RS;432170;TRÊS COROAS;2;
RS;430510;CAXIAS DO SUL;44;
RS;431300;NOVA BRÉSCIA;2;
RS;431150;LAVRAS DO SUL;6;
RS;431245;MORRO REDONDO;11;
RS;431043;IPÊ;3;
RS;430047;ALMIRANTE TAMANDARÉ DO SUL;1;
RS;432040;SERAFINA CORRÊA;10;
RS;432225;TUPANDI;2;
RS;431515;PROGRESSO;2;
RS;431010;IGREJINHA;18;
RS;430645;DOIS LAJEADOS;1;
RS;431530;QUARAÍ;16;
RS;431090;JACUTINGA;2;
RS;430367;CAMPESTRE DA SERRA;1;
RS;431830;SÃO GABRIEL;2;
RS;430755;ESTAÇÃO;2;
RS;430200;BARROS CASSAL;3;
RS;432166;TRÊS CACHOEIRAS;11;
RS;431337;NOVA SANTA RITA;1;
RS;431447;PINHAL GRANDE;1;
RS;430980;IBIAÇÁ;1;
RS;431710;SANT'ANA DO LIVRAMENTO;24;
RS;431142;LAJEADO DO BUGRE;1;
RS;430865;GARRUCHOS;1;
RS;431690;SANTA MARIA;24;
RS;431900;SÃO MARCOS;2;
RS;430462;CAPÃO BONITO DO SUL;1;
RS;430063;AMARAL FERRADOR;2;
RS;432026;SEGREDO;2;
RS;430080;ANTÔNIO PRADO;3;
RS;430360;CAMBARÁ DO SUL;2;
RS;430230;BOM JESUS;11;
RS;430163;BALNEÁRIO PINHAL;12;
RS;430965;HULHA NEGRA;7;
RS;430210;BENTO GONÇALVES;44;
RS;431179;MARATÁ;4;
RS;431760;SANTO ANTÔNIO DA PATRULHA;13;
RS;431450;PINHEIRO MACHADO;2;
RS;430700;ERECHIM;76;
RS;430535;CHARQUEADAS;5;
RS;430107;ARROIO DO PADRE;1;
RS;431975;SÃO VENDELINO;1;
RS;432240;URUGUAIANA;16;
RS;431041;INHACORÁ;1;
RS;432020;SEBERI;3;
RS;430175;BARÃO DO TRIUNFO;2;
RS;432230;TUPARENDI;4;
RS;430520;CERRO LARGO;3;
RS;432162;TRAVESSEIRO;2;
RS;431265;NÃO-ME-TOQUE;1;
RS;431130;LAGOA VERMELHA;5;
RS;430830;FONTOURA XAVIER;1;
RS;431642;SAGRADA FAMÍLIA;2;
RS;430843;FORQUETINHA;1;
RS;430320;CACIQUE DOBLE;8;
RS;430045;ALEGRIA;1;
RS;430690;ENCRUZILHADA DO SUL;13;
RS;431790;SANTO CRISTO;17;
RS;431595;ROLADOR;3;
RS;430300;CACHOEIRA DO SUL;4;
RS;431850;SÃO JOSÉ DO NORTE;6;
RS;431390;PANAMBI;45;
RS;430180;BARRACÃO;1;
RS;430745;ESPERANÇA DO SUL;1;
RS;430930;GUAÍBA;1;
RS;432067;SINIMBU;1;
RS;431920;SÃO NICOLAU;1;
RS;432163;TRÊS ARROIOS;3;
RS;431849;SÃO JOSÉ DO INHACORÁ;1;
RS;431162;LINDOLFO COLLOR;9;
RS;430485;CARLOS GOMES;1;
RS;431454;PINTO BANDEIRA;1;
RS;431125;LAGOÃO;1;
RS;430310;CACHOEIRINHA;20;
RS;431935;SÃO PEDRO DA SERRA;1;
RS;430910;GRAMADO;1;
RS;430460;CANOAS;95;
RS;431560;RIO GRANDE;120;
RS;431449;PINHEIRINHO DO VALE;4;
RS;430430;CÂNDIDO GODÓI;3;
RS;431780;SANTO AUGUSTO;28;
RS;431520;PUTINGA;1;
RS;430595;COTIPORÃ;1;
RS;430960;HORIZONTINA;9;
RS;430465;CAPÃO DO CIPÓ;1;
RS;431244;MORRINHOS DO SUL;1;
RS;430730;ERVAL SECO;7;
RS;431349;NOVO BARREIRO;1;
RS;430003;ACEGUÁ;2;
RS;432030;SELBACH;1;
RS;431937;SÃO PEDRO DO BUTIÁ;6;
RS;431270;NONOAI;10;
RS;431861;SÃO JOSÉ DO SUL;1;
RS;431339;NOVO CABRAIS;1;
RS;431120;JÚLIO DE CASTILHOS;11;
RS;430780;ESTRELA;1;
RS;431320;NOVA PETRÓPOLIS;1;
RS;431750;SANTO ÂNGELO;15;
RS;432250;VACARIA;10;
RS;430100;ARROIO DO MEIO;2;
RS;430720;ERVAL GRANDE;1;
RS;431085;JABOTICABA;1;
RS;430055;ALTO ALEGRE;1;
RS;432195;TRINDADE DO SUL;3;
RS;431033;IMBÉ;9;
RS;431344;NOVO TIRADENTES;2;
RS;430957;HERVEIRAS;1;
RS;431870;SÃO LEOPOLDO;27;
RS;430750;ESPUMOSO;4;
RS;431020;IJUÍ;38;
RS;430160;BAGÉ;48;
RS;431250;MOSTARDAS;1;
RS;430640;DOIS IRMÃOS;20;
RS;431960;SÃO SEPÉ;19;
RS;432300;VIAMÃO;16;
RS;430680;ENCANTADO;2;
RS;430607;CRISTAL DO SUL;2;
RS;431430;PEJUÇARA;3;
RS;430090;ARATIBA;3;
RS;431140;LAJEADO;14;
RS;431460;PIRATINI;3;
RS;432032;SENADOR SALGADO FILHO;1;
RS;431740;SANTIAGO;48;
RS;430620;CRUZEIRO DO SUL;1;
RS;430820;FLORES DA CUNHA;3;
RS;430807;FAZENDA VILANOVA;3;
RS;432090;TAPEJARA;11;
RS;430450;CANGUÇU;7;
RS;430840;FORMIGUEIRO;1;
RS;430800;FAXINAL DO SOTURNO;2;
RS;431970;SÃO VALENTIM;6;
RS;431306;NOVA HARTZ;14;
RS;430517;CERRO GRANDE DO SUL;5;
RS;431060;ITAQUI;8;
RS;431550;RESTINGA SECA;3;
RS;432320;VICTOR GRAEFF;1;
RS;430290;CACEQUI;11;
RS;432065;SILVEIRA MARTINS;1;
RS;431846;SÃO JOSÉ DO HERVAL;1;
RS;430165;BARÃO;1;
RS;432146;TIO HUGO;2;
RS;431820;SÃO FRANCISCO DE PAULA;12;
RS;431100;JAGUARÃO;6;
RS;431230;MIRAGUAÍ;3;
RS;430466;CAPÃO DO LEÃO;2;
RS;431775;SANTO ANTÔNIO DO PLANALTO;2;
RS;431810;SÃO FRANCISCO DE ASSIS;9;
RS;430220;BOA VISTA DO BURICÁ;2;
RS;430150;AUGUSTO PESTANA;1;
RS;431500;PORTO LUCENA;2;
RS;431053;ITAARA;2;
RS;430695;ENTRE RIOS DO SUL;2;
RS;430355;CAMARGO;1;
RS;432200;TRIUNFO;7;
RS;432130;TAQUARI;9;
RS;432345;VILA NOVA DO SUL;1;
RS;430500;CATUÍPE;5;
RS;432143;TERRA DE AREIA;6;
RS;432070;SOBRADINHO;5;
RS;431720;SANTA ROSA;24;
RS;431673;SANTA CECÍLIA DO SUL;1;
RS;430975;IBARAMA;3;
RS;430380;CAMPINAS DO SUL;2;
RS;431880;SÃO LOURENÇO DO SUL;10;
RS;430920;GRAVATAÍ;62;
RS;431406;PASSA SETE;2;
